district,language,families,service_points_serving_language,is_access_desert,example_points,sectors_covered
Highline School District,Punjabi,35,1,False,Valley View,"library, transit"
Federal Way School District,Chinese-Mandarin,34,6,False,Federal Way; Federal Way 320th; Federal Way Downtown; Star Lake,"library, transit"
Auburn School District,Lao,33,0,True,,"library, transit"
Auburn School District,Samoan,33,0,True,,"library, transit"
Highline School District,Russian,32,8,False,Angle Lake; Angle Lake Station North Entrance; Angle Lake Station South Entrance; Des Moines,"library, transit"
Auburn School District,Korean,32,3,False,Auburn Station,"library, transit"
Kent School District,Urdu,31,0,True,,"library, transit"
Kent School District,Kosraean,31,0,True,,"library, transit"
Tukwila School District,Amharic,30,0,True,,"library, transit"
Kent School District,Romanian,29,0,True,,"library, transit"
Renton School District,Hindi,29,2,False,Fairwood; Renton,"library, transit"
Federal Way School District,Amharic,29,0,True,,"library, transit"
Auburn School District,Kurdish,29,0,True,,"library, transit"
Tukwila School District,Nepali,29,0,True,,"library, transit"
Federal Way School District,Haitian Creole,29,0,True,,"library, transit"
Renton School District,Korean,28,5,False,Fairwood; Renton Highlands; Tukwila Sounder Station,"library, transit"
Auburn School District,Swahili,28,0,True,,"library, transit"
Auburn School District,Tigrinya,28,0,True,,"library, transit"
Federal Way School District,Portuguese,28,0,True,,"library, transit"
Highline School District,Ukrainian,28,0,True,,"library, transit"
Auburn School District,Burmese,27,0,True,,"library, transit"
Federal Way School District,Chinese-Cantonese,27,6,False,Federal Way; Federal Way 320th; Federal Way Downtown; Star Lake,"library, transit"
Auburn School District,Turkish,26,0,True,,"library, transit"
Highline School District,Tagalog,26,17,False,Angle Lake; Angle Lake Station North Entrance; Angle Lake Station South Entrance; Burien Transit Center - Bay 3,"library, transit"
Auburn School District,French,25,0,True,,"library, transit"
Kent School District,Tigrinya,25,0,True,,"library, transit"
Tukwila School District,Tagalog,24,8,False,Southcenter; Tukwila Int'l Blvd; Tukwila International Blvd Station - Bay 1; Tukwila International Blvd Station - Bay 2,"library, transit"
Federal Way School District,Swahili,23,0,True,,"library, transit"
Auburn School District,Nepali,22,0,True,,"library, transit"
Kent School District,Korean,22,3,False,Kent Sounder Station,"library, transit"
Federal Way School District,Chuukese,22,0,True,,"library, transit"
Tukwila School District,Khmer,21,0,True,,"library, transit"
Tukwila School District,Tigrinya,21,0,True,,"library, transit"
Federal Way School District,Marshallese,21,0,True,,"library, transit"
Highline School District,Oromo,20,0,True,,"library, transit"
Renton School District,Soninke,20,0,True,,"library, transit"
Kent School District,Lao,20,0,True,,"library, transit"
Highline School District,Swahili,19,0,True,,"library, transit"
Kent School District,Ilokano,19,0,True,,"library, transit"
Auburn School District,Tongan,19,0,True,,"library, transit"
Kent School District,Kurdish,18,0,True,,"library, transit"
Federal Way School District,Tagalog,18,17,False,Federal Way; Federal Way Downtown; Federal Way Downtown Station - Bay 1; Federal Way Downtown Station - Bay 10,"library, transit"
Federal Way School District,Khmer,18,0,True,,"library, transit"
Renton School District,Japanese,17,0,True,,"library, transit"
Highline School District,Burmese,17,0,True,,"library, transit"
Auburn School District,Amharic,17,0,True,,"library, transit"
Tukwila School District,Lingala,17,0,True,,"library, transit"
Renton School District,Swahili,17,0,True,,"library, transit"
Auburn School District,Farsi,16,0,True,,"library, transit"
Auburn School District,Japanese,16,0,True,,"library, transit"
Highline School District,Chuukese,15,0,True,,"library, transit"
Kent School District,Tongan,15,0,True,,"library, transit"
Highline School District,Lingala,15,0,True,,"library, transit"
Kent School District,Wolof,15,0,True,,"library, transit"
Kent School District,Mien,14,0,True,,"library, transit"
Renton School District,Ilokano,13,0,True,,"library, transit"
Kent School District,Palau,13,0,True,,"library, transit"
Kent School District,Karen,13,0,True,,"library, transit"
Kent School District,Thai,13,0,True,,"library, transit"
Kent School District,Lingala,13,0,True,,"library, transit"
Kent School District,Oromo,13,0,True,,"library, transit"
Federal Way School District,Samoan,13,0,True,,"library, transit"
Renton School District,Cham,12,0,True,,"library, transit"
Auburn School District,Portuguese,12,0,True,,"library, transit"
Renton School District,Lao,11,0,True,,"library, transit"
Renton School District,French,11,0,True,,"library, transit"
Tukwila School District,Oromo,11,0,True,,"library, transit"
Highline School District,Nepali,11,0,True,,"library, transit"
Federal Way School District,Lingala,11,0,True,,"library, transit"
Tukwila School District,Farsi,11,1,False,Tukwila,"library, transit"
Tukwila School District,Samoan,11,0,True,,"library, transit"
Highline School District,Chinese-Mandarin,11,9,False,Angle Lake; Angle Lake Station North Entrance; Angle Lake Station South Entrance; Burien,"library, transit"
Federal Way School District,Turkish,11,0,True,,"library, transit"
Tukwila School District,Russian,11,5,False,Southcenter; Tukwila Int'l Blvd; Tukwila International Blvd Station Entrance; Tukwila Intl Blvd Station Bay 2,"library, transit"
Highline School District,Chinese-Cantonese,10,9,False,Angle Lake; Angle Lake Station North Entrance; Angle Lake Station South Entrance; Burien,"library, transit"
Renton School District,American Sign Language,10,0,True,,"library, transit"
Renton School District,Chuukese,10,0,True,,"library, transit"
Auburn School District,Chinese-Mandarin,10,3,False,Auburn Station,"library, transit"
Auburn School District,Hindi,10,0,True,,"library, transit"
Highline School District,Haitian Creole,10,0,True,,"library, transit"
Renton School District,Tamil,10,0,True,,"library, transit"
Highline School District,Marshallese,10,0,True,,"library, transit"
Renton School District,Turkish,10,0,True,,"library, transit"
Kent School District,Kirundi,10,0,True,,"library, transit"
Kent School District,Telugu,10,0,True,,"library, transit"
Kent School District,Maay Maay,10,0,True,,"library, transit"
Federal Way School District,American Sign Language,9,0,True,,"library, transit"
Kent School District,Uzbek,9,0,True,,"library, transit"
Renton School District,Mien,9,0,True,,"library, transit"
Kent School District,Kinyarwanda,9,0,True,,"library, transit"
Renton School District,Burmese,9,0,True,,"library, transit"
Renton School District,Wolof,9,0,True,,"library, transit"
Tukwila School District,Bosnian,9,0,True,,"library, transit"
Renton School District,Telugu,9,0,True,,"library, transit"
Kent School District,Bengali,9,0,True,,"library, transit"
Kent School District,Cebuano,9,0,True,,"library, transit"
Auburn School District,Kosraean,9,0,True,,"library, transit"
Highline School District,Hindi,9,0,True,,"library, transit"
Renton School District,Gujarati,9,0,True,,"library, transit"
Tukwila School District,Tedim,9,0,True,,"library, transit"
Highline School District,Kosraean,8,0,True,,"library, transit"
Highline School District,Samoan,8,0,True,,"library, transit"
Renton School District,Nepali,8,0,True,,"library, transit"
Kent School District,Fula,8,0,True,,"library, transit"
Kent School District,Tamil,8,0,True,,"library, transit"
Renton School District,Taishanese,8,0,True,,"library, transit"
Tukwila School District,Chuukese,8,0,True,,"library, transit"
Kent School District,Japanese,8,0,True,,"library, transit"
Tukwila School District,Karen,8,0,True,,"library, transit"
Auburn School District,Dinka,8,0,True,,"library, transit"
Renton School District,Marshallese,7,0,True,,"library, transit"
Kent School District,Malayalam,7,0,True,,"library, transit"
Auburn School District,American Sign Language,7,0,True,,"library, transit"
Auburn School District,Thai,7,0,True,,"library, transit"
Auburn School District,Urdu,7,0,True,,"library, transit"
Highline School District,Thai,7,0,True,,"library, transit"
Kent School District,Indonesian,7,0,True,,"library, transit"
Kent School District,Hmong,7,0,True,,"library, transit"
Highline School District,Tedim,7,0,True,,"library, transit"
Tukwila School District,Chinese-Cantonese,7,5,False,Southcenter; Tukwila Int'l Blvd; Tukwila International Blvd Station Entrance; Tukwila Intl Blvd Station Bay 2,"library, transit"
Kent School District,American Sign Language,7,0,True,,"library, transit"
Auburn School District,Ilokano,7,0,True,,"library, transit"
Auburn School District,Chuukese,6,0,True,,"library, transit"
Renton School District,Lingala,6,0,True,,"library, transit"
Renton School District,Bengali,6,0,True,,"library, transit"
Renton School District,Hmong,6,0,True,,"library, transit"
Auburn School District,Ayula-Bambara,6,0,True,,"library, transit"
Kent School District,Taishanese,6,0,True,,"library, transit"
Kent School District,Dinka,6,0,True,,"library, transit"
Renton School District,Albanian,6,0,True,,"library, transit"
Federal Way School District,Dinka,6,0,True,,"library, transit"
Tukwila School District,Swahili,6,0,True,,"library, transit"
Tukwila School District,Punjabi,6,0,True,,"library, transit"
Federal Way School District,Tigrinya,6,0,True,,"library, transit"
Renton School District,Luganda,6,0,True,,"library, transit"
Federal Way School District,Mongolian,6,0,True,,"library, transit"
Renton School District,Urdu,5,0,True,,"library, transit"
Kent School District,Chamorro,5,0,True,,"library, transit"
Highline School District,Uzbek,5,0,True,,"library, transit"
Auburn School District,Cebuano,5,0,True,,"library, transit"
Kent School District,Karenni,5,0,True,,"library, transit"
Auburn School District,Mandingo,5,0,True,,"library, transit"
Highline School District,Cham,5,0,True,,"library, transit"
Highline School District,Bengali,5,0,True,,"library, transit"
Auburn School District,Kinyarwanda,4,0,True,,"library, transit"
Federal Way School District,Urdu,4,0,True,,"library, transit"
Highline School District,Bosnian,4,0,True,,"library, transit"
Tukwila School District,Kinyarwanda,4,0,True,,"library, transit"
Auburn School District,Fula,4,0,True,,"library, transit"
Tukwila School District,Marshallese,4,0,True,,"library, transit"
Tukwila School District,Turkish,4,0,True,,"library, transit"
Kent School District,Yap,4,0,True,,"library, transit"
Renton School District,Cebuano,4,0,True,,"library, transit"
Highline School District,Gujarati,4,0,True,,"library, transit"
Auburn School District,Haitian Creole,4,0,True,,"library, transit"
Renton School District,Marathi,4,0,True,,"library, transit"
Federal Way School District,Burmese,4,0,True,,"library, transit"
Tukwila School District,Lao,4,0,True,,"library, transit"
Auburn School District,Maay Maay,4,0,True,,"library, transit"
Auburn School District,Mien,4,0,True,,"library, transit"
Kent School District,Nuer,4,0,True,,"library, transit"
Kent School District,Kikuyu,4,0,True,,"library, transit"
Federal Way School District,Hindi,4,2,False,Federal Way; Woodmont,"library, transit"
Highline School District,Soninke,4,0,True,,"library, transit"
Federal Way School District,Oromo,4,0,True,,"library, transit"
Renton School District,Tongan,4,0,True,,"library, transit"
Highline School District,Urdu,4,0,True,,"library, transit"
Federal Way School District,Kosraean,4,0,True,,"library, transit"
Highline School District,Kinyarwanda,4,0,True,,"library, transit"
Tukwila School District,Uzbek,3,0,True,,"library, transit"
Renton School District,Chin,3,0,True,,"library, transit"
Auburn School District,Chinese-Taiwanese,3,0,True,,"library, transit"
Tukwila School District,Thai,3,0,True,,"library, transit"
Tukwila School District,Tongan,3,0,True,,"library, transit"
Renton School District,Dinka,3,0,True,,"library, transit"
Renton School District,Armenian,3,0,True,,"library, transit"
Renton School District,Hawaiian,3,0,True,,"library, transit"
Tukwila School District,Ukrainian,3,0,True,,"library, transit"
Renton School District,Chinese-Taiwanese,3,0,True,,"library, transit"
Auburn School District,Moore,3,0,True,,"library, transit"
Federal Way School District,Akateko,3,0,True,,"library, transit"
Federal Way School District,Tongan,3,0,True,,"library, transit"
Tukwila School District,Fula,3,0,True,,"library, transit"
Highline School District,Korean,3,7,False,Angle Lake; Angle Lake Station North Entrance; Angle Lake Station South Entrance; Kent Des Moines,"library, transit"
Renton School District,Samoan,3,0,True,,"library, transit"
Highline School District,Maya-Quiche,3,0,True,,"library, transit"
Highline School District,Mam,3,0,True,,"library, transit"
Renton School District,Thai,3,0,True,,"library, transit"
Kent School District,Bulgarian,3,0,True,,"library, transit"
Federal Way School District,Kakwa,3,0,True,,"library, transit"
Kent School District,Bangala,3,0,True,,"library, transit"
Highline School District,Tarasco,3,0,True,,"library, transit"
Federal Way School District,Rohingya,3,0,True,,"library, transit"
Kent School District,Hausa,3,0,True,,"library, transit"
Renton School District,Mongolian,3,0,True,,"library, transit"
Kent School District,Soninke,3,0,True,,"library, transit"
Auburn School District,Romanian,3,0,True,,"library, transit"
Kent School District,Rohingya,3,0,True,,"library, transit"
Federal Way School District,Thai,2,0,True,,"library, transit"
Tukwila School District,Hawaiian,2,0,True,,"library, transit"
Tukwila School District,Ilokano,2,0,True,,"library, transit"
Federal Way School District,Twi,2,0,True,,"library, transit"
Auburn School District,Igbo,2,0,True,,"library, transit"
Federal Way School District,Taishanese,2,0,True,,"library, transit"
Highline School District,Bambara,2,0,True,,"library, transit"
Highline School District,Fallani,2,0,True,,"library, transit"
Highline School District,Fula,2,0,True,,"library, transit"
Federal Way School District,Wolof,2,0,True,,"library, transit"
Tukwila School District,Chamorro,2,0,True,,"library, transit"
Auburn School District,Hawaiian,2,0,True,,"library, transit"
Tukwila School District,Cham,2,0,True,,"library, transit"
Kent School District,Dutch,2,0,True,,"library, transit"
Kent School District,Eritai,2,0,True,,"library, transit"
Kent School District,Fallani,2,0,True,,"library, transit"
Kent School District,German,2,0,True,,"library, transit"
Kent School District,Hungarian,2,0,True,,"library, transit"
Federal Way School District,Malayalam,2,0,True,,"library, transit"
Federal Way School District,Kurdish,2,0,True,,"library, transit"
Kent School District,Igbo,2,0,True,,"library, transit"
Renton School District,Nuer,2,0,True,,"library, transit"
Renton School District,Mixteco,2,0,True,,"library, transit"
Renton School District,Shona,2,0,True,,"library, transit"
Renton School District,Purepecha,2,0,True,,"library, transit"
Kent School District,Cham,2,0,True,,"library, transit"
