language,families_south_king_county,kc_tier,kc_status,on_tier_map,tier_map_source,tier_map_vintage
Kurdish,51,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Urdu,51,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Tongan,46,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Haitian Creole,46,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Japanese,43,3,translation encouraged,True,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Ilokano,43,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Thai,35,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
American Sign Language,34,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Soninke,29,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Wolof,28,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Mien,28,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Karen,24,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Dinka,24,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Bengali,23,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Kinyarwanda,23,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Cham,21,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Cebuano,20,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Telugu,19,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Fula,19,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Tamil,19,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Tedim,17,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Uzbek,17,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Bosnian,16,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Gujarati,16,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Taishanese,16,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Palau,14,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Maay Maay,14,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Malayalam,14,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Hmong,13,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Kirundi,12,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Mongolian,11,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Indonesian,11,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Chinese-Taiwanese,10,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Albanian,9,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
