district,language,families,reading,best_written_tier,best_written_tier_local_only,best_oral_tier,agencies_at_tier3,verified_tier3,best_provider,providers_at_tier3,written_gap,oral_gap,gap_score,severity,families_no_written_anywhere,families_no_local_written,families_no_local_document
Renton School District,Chinese-Cantonese,189,conservative,2,2,2,6,0,Renton School District,DSHS Basic Food (SNAP); King County Library System; Renton School District; Sound Transit; Washington Healthplanfinder; WashingtonLawHelp,113.4,37.8,90.7,0.48,0,0,189
Kent School District,Chinese-Cantonese,177,conservative,2,2,2,5,0,King County Library System,DSHS Basic Food (SNAP); King County Library System; Sound Transit; Washington Healthplanfinder; WashingtonLawHelp,106.2,35.4,85.0,0.48,0,0,177
Auburn School District,Russian,176,conservative,2,2,2,10,0,Auburn School District,Auburn School District; DSHS Basic Food (SNAP); International Community Health Services; King County Library System; Northwest Harvest; Public Health Seattle and King County,105.6,35.2,84.5,0.48,0,0,176
Kent School District,Tagalog,166,conservative,2,2,2,4,0,King County Metro,King County Metro; Sound Transit; Washington Healthplanfinder; WashingtonLawHelp,99.6,33.2,79.7,0.48,0,0,166
Tukwila School District,Portuguese,157,conservative,2,2,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,94.2,31.4,75.4,0.48,0,0,157
Auburn School District,Punjabi,152,conservative,2,2,2,3,0,Auburn School District,Auburn School District; Public Health Seattle and King County; Washington Healthplanfinder,91.2,30.4,73.0,0.48,0,0,152
Kent School District,Turkish,109,conservative,1,1,2,0,0,City of Kent,,92.6,21.8,71.4,0.655,0,0,109
Federal Way School District,Somali,141,conservative,2,2,2,5,0,Federal Way School District,DSHS Basic Food (SNAP); Federal Way School District; King County Library System; Public Health Seattle and King County; Washington Healthplanfinder,84.6,28.2,67.7,0.48,0,0,141
Auburn School District,Vietnamese,136,conservative,2,2,2,10,0,Auburn School District,Auburn School District; DSHS Basic Food (SNAP); International Community Health Services; King County Library System; Northwest Harvest; Public Health Seattle and King County,81.6,27.2,65.3,0.48,0,0,136
Tukwila School District,Vietnamese,136,conservative,2,2,2,11,0,Tukwila School District,City of Tukwila; DSHS Basic Food (SNAP); International Community Health Services; King County Library System; Northwest Harvest; Public Health Seattle and King County,81.6,27.2,65.3,0.48,0,0,136
Kent School District,Farsi,135,conservative,2,1,2,3,0,DSHS Basic Food (SNAP),DSHS Basic Food (SNAP); Washington Healthplanfinder; WashingtonLawHelp,81.0,27.0,64.8,0.48,0,0,135
Tukwila School District,Dari,134,conservative,2,2,2,5,0,Public Health Seattle and King County,City of Tukwila; DSHS Basic Food (SNAP); Public Health Seattle and King County; Washington Healthplanfinder; WashingtonLawHelp,80.4,26.8,64.3,0.48,0,0,134
Federal Way School District,Vietnamese,132,conservative,2,2,2,10,0,Federal Way School District,DSHS Basic Food (SNAP); Federal Way School District; International Community Health Services; King County Library System; Northwest Harvest; Public Health Seattle and King County,79.2,26.4,63.4,0.48,0,0,132
Kent School District,Khmer,124,conservative,2,2,2,4,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); Public Health Seattle and King County; Washington Healthplanfinder; WashingtonLawHelp,74.4,24.8,59.5,0.48,0,0,124
Renton School District,Somali,115,conservative,2,2,2,6,0,Renton School District,City of Tukwila; DSHS Basic Food (SNAP); King County Library System; Public Health Seattle and King County; Renton School District; Washington Healthplanfinder,69.0,23.0,55.2,0.48,0,0,115
Tukwila School District,Somali,131,conservative,2,2,3,6,0,Tukwila School District,City of Tukwila; DSHS Basic Food (SNAP); King County Library System; Public Health Seattle and King County; Tukwila School District; Washington Healthplanfinder,78.6,0.0,55.0,0.42,0,0,131
Kent School District,Burmese,114,conservative,2,2,2,1,0,Public Health Seattle and King County,Public Health Seattle and King County,68.4,22.8,54.7,0.48,0,0,114
Renton School District,Chinese-Mandarin,108,conservative,2,2,2,9,0,Renton School District,DSHS Basic Food (SNAP); International Community Health Services; King County Library System; Northwest Harvest; Public Health Seattle and King County; Renton School District,64.8,21.6,51.8,0.48,0,0,108
Kent School District,Nepali,78,conservative,1,1,2,0,0,City of Kent,,66.3,15.6,51.1,0.655,0,0,78
Renton School District,Russian,105,conservative,2,2,2,10,0,Renton School District,DSHS Basic Food (SNAP); International Community Health Services; King County Library System; Northwest Harvest; Public Health Seattle and King County; Renton School District,63.0,21.0,50.4,0.48,0,0,105
Renton School District,Pashto,103,conservative,2,2,2,4,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); King County Library System; Public Health Seattle and King County; Washington Healthplanfinder,61.8,20.6,49.4,0.48,0,0,103
Renton School District,Ukrainian,103,conservative,2,2,2,4,0,Renton School District,King County Library System; Public Health Seattle and King County; Renton School District; Washington Healthplanfinder,61.8,20.6,49.4,0.48,0,0,103
Highline School District,Pashto,94,conservative,2,2,2,4,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); King County Library System; Public Health Seattle and King County; Washington Healthplanfinder,56.4,18.8,45.1,0.48,0,0,94
Auburn School District,Arabic,90,conservative,2,2,2,5,0,Auburn School District,Auburn School District; King County Library System; Public Health Seattle and King County; Washington Healthplanfinder; WashingtonLawHelp,54.0,18.0,43.2,0.48,0,0,90
Kent School District,Chinese-Mandarin,85,conservative,2,2,2,8,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); International Community Health Services; King County Library System; Northwest Harvest; Public Health Seattle and King County; Sound Transit,51.0,17.0,40.8,0.48,0,0,85
