district,language,families,reading,best_written_tier,best_written_tier_local_only,best_oral_tier,agencies_at_tier3,verified_tier3,best_provider,providers_at_tier3,written_gap,oral_gap,gap_score,severity,families_no_written_anywhere,families_no_local_written,families_no_local_document
Kent School District,Lingala,13,conservative,1,1,2,0,0,City of Kent,,11.0,2.6,8.5,0.654,0,0,13
Highline School District,Burmese,17,conservative,2,2,2,2,0,Public Health Seattle and King County,City of Tukwila; Public Health Seattle and King County,10.2,3.4,8.2,0.482,0,0,17
Renton School District,Japanese,17,conservative,2,2,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,10.2,3.4,8.2,0.482,0,0,17
Renton School District,Swahili,17,conservative,2,2,2,1,0,Public Health Seattle and King County,Public Health Seattle and King County,10.2,3.4,8.2,0.482,0,0,17
Kent School District,Fula,8,conservative,0,0,0,0,0,City of Auburn,,8.0,8.0,8.0,1.0,8,8,8
Highline School District,Kosraean,8,conservative,0,0,0,0,0,City of Burien,,8.0,8.0,8.0,1.0,8,8,8
Renton School District,Taishanese,8,conservative,0,0,0,0,0,City of Renton,,8.0,8.0,8.0,1.0,8,8,8
Tukwila School District,Karen,8,conservative,0,0,0,0,0,City of Tukwila,,8.0,8.0,8.0,1.0,8,8,8
Auburn School District,Farsi,16,conservative,2,1,2,3,0,DSHS Basic Food (SNAP),DSHS Basic Food (SNAP); Washington Healthplanfinder; WashingtonLawHelp,9.6,3.2,7.7,0.481,0,0,16
Auburn School District,Japanese,16,conservative,2,2,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,9.6,3.2,7.7,0.481,0,0,16
Kent School District,Amharic,125,conservative,3,2,2,3,1,King County Library System,International Community Health Services; King County Library System; Washington Healthplanfinder,0.0,25.0,7.5,0.06,0,0,125
Kent School District,Tongan,15,conservative,2,2,2,1,0,Public Health Seattle and King County,Public Health Seattle and King County,9.0,3.0,7.2,0.48,0,0,15
Highline School District,Chuukese,15,conservative,2,2,2,2,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); Public Health Seattle and King County,9.0,3.0,7.2,0.48,0,0,15
Federal Way School District,Lingala,11,conservative,1,1,2,0,0,Public Health Seattle and King County,,9.3,2.2,7.2,0.655,0,0,11
Federal Way School District,Turkish,11,conservative,1,1,2,0,0,Public Health Seattle and King County,,9.3,2.2,7.2,0.655,0,0,11
Highline School District,Tedim,7,conservative,0,0,0,0,0,City of Burien,,7.0,7.0,7.0,1.0,7,7,7
Kent School District,Telugu,10,conservative,1,1,2,0,0,City of Kent,,8.5,2.0,6.5,0.65,0,0,10
Highline School District,Haitian Creole,10,conservative,1,1,2,0,0,City of Burien,,8.5,2.0,6.5,0.65,0,0,10
Renton School District,Turkish,10,conservative,1,1,2,0,0,Public Health Seattle and King County,,8.5,2.0,6.5,0.65,0,0,10
Kent School District,Oromo,13,conservative,2,2,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,7.8,2.6,6.2,0.477,0,0,13
Kent School District,Thai,13,conservative,2,2,2,1,0,Public Health Seattle and King County,Public Health Seattle and King County,7.8,2.6,6.2,0.477,0,0,13
Federal Way School District,Samoan,13,conservative,2,2,2,1,0,Public Health Seattle and King County,Public Health Seattle and King County,7.8,2.6,6.2,0.477,0,0,13
Auburn School District,Ayula-Bambara,6,conservative,0,0,0,0,0,City of Auburn,,6.0,6.0,6.0,1.0,6,6,6
Kent School District,Taishanese,6,conservative,0,0,0,0,0,City of Auburn,,6.0,6.0,6.0,1.0,6,6,6
Kent School District,Bengali,9,conservative,1,1,2,0,0,City of Kent,,7.6,1.8,5.9,0.656,0,0,9
Kent School District,Cebuano,9,conservative,1,1,2,0,0,City of Kent,,7.6,1.8,5.9,0.656,0,0,9
Kent School District,Kinyarwanda,9,conservative,1,1,2,0,0,City of Kent,,7.6,1.8,5.9,0.656,0,0,9
Kent School District,Uzbek,9,conservative,1,1,2,0,0,City of Kent,,7.6,1.8,5.9,0.656,0,0,9
Renton School District,Gujarati,9,conservative,1,1,2,0,0,Public Health Seattle and King County,,7.6,1.8,5.9,0.656,0,0,9
Renton School District,Telugu,9,conservative,1,1,2,0,0,Public Health Seattle and King County,,7.6,1.8,5.9,0.656,0,0,9
Renton School District,Wolof,9,conservative,1,1,2,0,0,Public Health Seattle and King County,,7.6,1.8,5.9,0.656,0,0,9
Tukwila School District,Bosnian,9,conservative,1,1,2,0,0,Public Health Seattle and King County,,7.6,1.8,5.9,0.656,0,0,9
Auburn School District,Portuguese,12,conservative,2,2,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,7.2,2.4,5.8,0.483,0,0,12
Highline School District,Chinese-Mandarin,11,conservative,2,2,2,8,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); International Community Health Services; King County Library System; Northwest Harvest; Public Health Seattle and King County; Sound Transit,6.6,2.2,5.3,0.482,0,0,11
Highline School District,Nepali,11,conservative,2,1,2,1,0,City of Burien,City of Tukwila,6.6,2.2,5.3,0.482,0,0,11
Renton School District,French,11,conservative,2,2,2,3,0,Public Health Seattle and King County,MultiCare Health System; Public Health Seattle and King County; Washington Healthplanfinder,6.6,2.2,5.3,0.482,0,0,11
Renton School District,Lao,11,conservative,2,2,2,3,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); Public Health Seattle and King County; Washington Healthplanfinder,6.6,2.2,5.3,0.482,0,0,11
Tukwila School District,Farsi,11,conservative,2,1,2,3,0,DSHS Basic Food (SNAP),DSHS Basic Food (SNAP); Washington Healthplanfinder; WashingtonLawHelp,6.6,2.2,5.3,0.482,0,0,11
Tukwila School District,Oromo,11,conservative,2,2,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,6.6,2.2,5.3,0.482,0,0,11
Tukwila School District,Russian,11,conservative,2,2,2,9,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); International Community Health Services; King County Library System; Northwest Harvest; Public Health Seattle and King County; Sound Transit,6.6,2.2,5.3,0.482,0,0,11
Tukwila School District,Samoan,11,conservative,2,2,2,1,0,Public Health Seattle and King County,Public Health Seattle and King County,6.6,2.2,5.3,0.482,0,0,11
Auburn School District,Dinka,8,conservative,1,1,2,0,0,City of Auburn,,6.8,1.6,5.2,0.65,0,0,8
Kent School District,Karenni,5,conservative,0,0,0,0,0,City of Auburn,,5.0,5.0,5.0,1.0,5,5,5
Auburn School District,Mandingo,5,conservative,0,0,0,0,0,City of Auburn,,5.0,5.0,5.0,1.0,5,5,5
Highline School District,Cham,5,conservative,0,0,0,0,0,City of Burien,,5.0,5.0,5.0,1.0,5,5,5
Auburn School District,Chinese-Mandarin,10,conservative,2,2,2,8,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); International Community Health Services; King County Library System; Northwest Harvest; Public Health Seattle and King County; Sound Transit,6.0,2.0,4.8,0.48,0,0,10
Auburn School District,Hindi,10,conservative,2,1,2,1,0,Washington Healthplanfinder,Washington Healthplanfinder,6.0,2.0,4.8,0.48,0,0,10
Highline School District,Chinese-Cantonese,10,conservative,2,2,2,5,0,King County Library System,DSHS Basic Food (SNAP); King County Library System; Sound Transit; Washington Healthplanfinder; WashingtonLawHelp,6.0,2.0,4.8,0.48,0,0,10
Highline School District,Marshallese,10,conservative,2,2,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; WashingtonLawHelp,6.0,2.0,4.8,0.48,0,0,10
Renton School District,American Sign Language,10,conservative,2,0,2,1,0,Washington Healthplanfinder,Washington Healthplanfinder,6.0,2.0,4.8,0.48,0,10,10
Renton School District,Chuukese,10,conservative,2,2,2,2,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); Public Health Seattle and King County,6.0,2.0,4.8,0.48,0,0,10
Renton School District,Tamil,10,conservative,2,1,2,1,0,DSHS Basic Food (SNAP),DSHS Basic Food (SNAP),6.0,2.0,4.8,0.48,0,0,10
Kent School District,Hmong,7,conservative,1,1,2,0,0,City of Kent,,6.0,1.4,4.6,0.657,0,0,7
Auburn School District,Ilokano,7,conservative,1,1,2,0,0,City of Auburn,,6.0,1.4,4.6,0.657,0,0,7
Kent School District,Indonesian,7,conservative,1,1,2,0,0,City of Kent,,6.0,1.4,4.6,0.657,0,0,7
Kent School District,Malayalam,7,conservative,1,1,2,0,0,City of Kent,,6.0,1.4,4.6,0.657,0,0,7
Auburn School District,Urdu,7,conservative,1,1,2,0,0,City of Auburn,,6.0,1.4,4.6,0.657,0,0,7
Highline School District,Hindi,9,conservative,2,1,2,1,0,Washington Healthplanfinder,Washington Healthplanfinder,5.4,1.8,4.3,0.478,0,0,9
Federal Way School District,American Sign Language,9,conservative,2,0,2,1,0,Washington Healthplanfinder,Washington Healthplanfinder,5.4,1.8,4.3,0.478,0,9,9
Renton School District,Burmese,9,conservative,2,2,2,2,0,Public Health Seattle and King County,City of Tukwila; Public Health Seattle and King County,5.4,1.8,4.3,0.478,0,0,9
Auburn School District,Fula,4,conservative,0,0,0,0,0,City of Auburn,,4.0,4.0,4.0,1.0,4,4,4
Kent School District,Kikuyu,4,conservative,0,0,0,0,0,City of Auburn,,4.0,4.0,4.0,1.0,4,4,4
Auburn School District,Maay Maay,4,conservative,0,0,0,0,0,City of Auburn,,4.0,4.0,4.0,1.0,4,4,4
Auburn School District,Mien,4,conservative,0,0,0,0,0,City of Auburn,,4.0,4.0,4.0,1.0,4,4,4
Kent School District,Yap,4,conservative,0,0,0,0,0,City of Auburn,,4.0,4.0,4.0,1.0,4,4,4
Highline School District,Soninke,4,conservative,0,0,0,0,0,City of Burien,,4.0,4.0,4.0,1.0,4,4,4
Federal Way School District,Kosraean,4,conservative,0,0,0,0,0,City of Des Moines,,4.0,4.0,4.0,1.0,4,4,4
Renton School District,Amharic,67,conservative,3,2,2,3,1,King County Library System,International Community Health Services; King County Library System; Washington Healthplanfinder,0.0,13.4,4.0,0.06,0,0,67
Kent School District,Dinka,6,conservative,1,1,2,0,0,City of Kent,,5.1,1.2,3.9,0.65,0,0,6
Federal Way School District,Dinka,6,conservative,1,1,2,0,0,Public Health Seattle and King County,,5.1,1.2,3.9,0.65,0,0,6
Federal Way School District,Mongolian,6,conservative,1,1,2,0,0,Public Health Seattle and King County,,5.1,1.2,3.9,0.65,0,0,6
Renton School District,Albanian,6,conservative,1,1,2,0,0,Public Health Seattle and King County,,5.1,1.2,3.9,0.65,0,0,6
Renton School District,Bengali,6,conservative,1,1,2,0,0,Public Health Seattle and King County,,5.1,1.2,3.9,0.65,0,0,6
Renton School District,Hmong,6,conservative,1,1,2,0,0,Public Health Seattle and King County,,5.1,1.2,3.9,0.65,0,0,6
Renton School District,Lingala,6,conservative,1,1,2,0,0,Public Health Seattle and King County,,5.1,1.2,3.9,0.65,0,0,6
Renton School District,Luganda,6,conservative,1,1,2,0,0,Public Health Seattle and King County,,5.1,1.2,3.9,0.65,0,0,6
Kent School District,Japanese,8,conservative,2,2,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,4.8,1.6,3.8,0.475,0,0,8
Kent School District,Tamil,8,conservative,2,1,2,1,0,DSHS Basic Food (SNAP),DSHS Basic Food (SNAP),4.8,1.6,3.8,0.475,0,0,8
Highline School District,Samoan,8,conservative,2,2,2,1,0,Public Health Seattle and King County,Public Health Seattle and King County,4.8,1.6,3.8,0.475,0,0,8
Renton School District,Nepali,8,conservative,2,1,2,1,0,City of Renton,City of Tukwila,4.8,1.6,3.8,0.475,0,0,8
Tukwila School District,Chuukese,8,conservative,2,2,2,2,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); Public Health Seattle and King County,4.8,1.6,3.8,0.475,0,0,8
Auburn School District,American Sign Language,7,conservative,2,0,2,1,0,Washington Healthplanfinder,Washington Healthplanfinder,4.2,1.4,3.4,0.486,0,7,7
Kent School District,American Sign Language,7,conservative,2,0,2,1,0,Washington Healthplanfinder,Washington Healthplanfinder,4.2,1.4,3.4,0.486,0,7,7
Auburn School District,Thai,7,conservative,2,2,2,1,0,Public Health Seattle and King County,Public Health Seattle and King County,4.2,1.4,3.4,0.486,0,0,7
Highline School District,Thai,7,conservative,2,2,2,1,0,Public Health Seattle and King County,Public Health Seattle and King County,4.2,1.4,3.4,0.486,0,0,7
Renton School District,Marshallese,7,conservative,2,2,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; WashingtonLawHelp,4.2,1.4,3.4,0.486,0,0,7
Tukwila School District,Chinese-Cantonese,7,conservative,2,2,2,5,0,King County Library System,DSHS Basic Food (SNAP); King County Library System; Sound Transit; Washington Healthplanfinder; WashingtonLawHelp,4.2,1.4,3.4,0.486,0,0,7
Auburn School District,Cebuano,5,conservative,1,1,2,0,0,City of Auburn,,4.2,1.0,3.3,0.66,0,0,5
Kent School District,Chamorro,5,conservative,1,1,2,0,0,City of Kent,,4.2,1.0,3.3,0.66,0,0,5
Highline School District,Bengali,5,conservative,1,1,2,0,0,City of Burien,,4.2,1.0,3.3,0.66,0,0,5
Highline School District,Uzbek,5,conservative,1,1,2,0,0,City of Burien,,4.2,1.0,3.3,0.66,0,0,5
Renton School District,Urdu,5,conservative,1,1,2,0,0,Public Health Seattle and King County,,4.2,1.0,3.3,0.66,0,0,5
Kent School District,Bangala,3,conservative,0,0,0,0,0,City of Auburn,,3.0,3.0,3.0,1.0,3,3,3
Auburn School District,Chinese-Taiwanese,3,conservative,0,0,0,0,0,City of Auburn,,3.0,3.0,3.0,1.0,3,3,3
Auburn School District,Moore,3,conservative,0,0,0,0,0,City of Auburn,,3.0,3.0,3.0,1.0,3,3,3
Kent School District,Rohingya,3,conservative,0,0,0,0,0,City of Auburn,,3.0,3.0,3.0,1.0,3,3,3
Kent School District,Soninke,3,conservative,0,0,0,0,0,City of Auburn,,3.0,3.0,3.0,1.0,3,3,3
Highline School District,Maya-Quiche,3,conservative,0,0,0,0,0,City of Burien,,3.0,3.0,3.0,1.0,3,3,3
Highline School District,Tarasco,3,conservative,0,0,0,0,0,City of Burien,,3.0,3.0,3.0,1.0,3,3,3
Federal Way School District,Akateko,3,conservative,0,0,0,0,0,City of Des Moines,,3.0,3.0,3.0,1.0,3,3,3
Federal Way School District,Kakwa,3,conservative,0,0,0,0,0,City of Des Moines,,3.0,3.0,3.0,1.0,3,3,3
Federal Way School District,Rohingya,3,conservative,0,0,0,0,0,City of Des Moines,,3.0,3.0,3.0,1.0,3,3,3
Renton School District,Chin,3,conservative,0,0,0,0,0,City of Renton,,3.0,3.0,3.0,1.0,3,3,3
Renton School District,Chinese-Taiwanese,3,conservative,0,0,0,0,0,City of Renton,,3.0,3.0,3.0,1.0,3,3,3
Tukwila School District,Fula,3,conservative,0,0,0,0,0,City of Tukwila,,3.0,3.0,3.0,1.0,3,3,3
Auburn School District,Chuukese,6,conservative,2,2,2,2,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); Public Health Seattle and King County,3.6,1.2,2.9,0.483,0,0,6
Federal Way School District,Tigrinya,6,conservative,2,2,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,3.6,1.2,2.9,0.483,0,0,6
Tukwila School District,Punjabi,6,conservative,2,2,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,3.6,1.2,2.9,0.483,0,0,6
Tukwila School District,Swahili,6,conservative,2,2,2,1,0,Public Health Seattle and King County,Public Health Seattle and King County,3.6,1.2,2.9,0.483,0,0,6
Auburn School District,Haitian Creole,4,conservative,1,1,2,0,0,City of Auburn,,3.4,0.8,2.6,0.65,0,0,4
Auburn School District,Kinyarwanda,4,conservative,1,1,2,0,0,City of Auburn,,3.4,0.8,2.6,0.65,0,0,4
Kent School District,Nuer,4,conservative,1,1,2,0,0,City of Kent,,3.4,0.8,2.6,0.65,0,0,4
Highline School District,Bosnian,4,conservative,1,1,2,0,0,City of Burien,,3.4,0.8,2.6,0.65,0,0,4
Highline School District,Gujarati,4,conservative,1,1,2,0,0,City of Burien,,3.4,0.8,2.6,0.65,0,0,4
Highline School District,Kinyarwanda,4,conservative,1,1,2,0,0,City of Burien,,3.4,0.8,2.6,0.65,0,0,4
Highline School District,Urdu,4,conservative,1,1,2,0,0,City of Burien,,3.4,0.8,2.6,0.65,0,0,4
Federal Way School District,Urdu,4,conservative,1,1,2,0,0,Public Health Seattle and King County,,3.4,0.8,2.6,0.65,0,0,4
Renton School District,Cebuano,4,conservative,1,1,2,0,0,Public Health Seattle and King County,,3.4,0.8,2.6,0.65,0,0,4
Renton School District,Marathi,4,conservative,1,1,2,0,0,Public Health Seattle and King County,,3.4,0.8,2.6,0.65,0,0,4
Tukwila School District,Kinyarwanda,4,conservative,1,1,2,0,0,Public Health Seattle and King County,,3.4,0.8,2.6,0.65,0,0,4
Tukwila School District,Turkish,4,conservative,1,1,2,0,0,Public Health Seattle and King County,,3.4,0.8,2.6,0.65,0,0,4
Kent School District,Aguacateco,2,conservative,0,0,0,0,0,City of Auburn,,2.0,2.0,2.0,1.0,2,2,2
Kent School District,Bulgarian,3,conservative,1,1,2,0,0,City of Kent,,2.5,0.6,2.0,0.667,0,0,3
Kent School District,Cham,2,conservative,0,0,0,0,0,City of Auburn,,2.0,2.0,2.0,1.0,2,2,2
Auburn School District,Chin,2,conservative,0,0,0,0,0,City of Auburn,,2.0,2.0,2.0,1.0,2,2,2
Kent School District,Chinese-Taiwanese,2,conservative,0,0,0,0,0,City of Auburn,,2.0,2.0,2.0,1.0,2,2,2
Kent School District,Eritai,2,conservative,0,0,0,0,0,City of Auburn,,2.0,2.0,2.0,1.0,2,2,2
Kent School District,Fallani,2,conservative,0,0,0,0,0,City of Auburn,,2.0,2.0,2.0,1.0,2,2,2
Kent School District,Hausa,3,conservative,1,1,2,0,0,City of Kent,,2.5,0.6,2.0,0.667,0,0,3
Kent School District,Kmhmu,2,conservative,0,0,0,0,0,City of Auburn,,2.0,2.0,2.0,1.0,2,2,2
Kent School District,Mandingo,2,conservative,0,0,0,0,0,City of Auburn,,2.0,2.0,2.0,1.0,2,2,2
Auburn School District,Mandinka,2,conservative,0,0,0,0,0,City of Auburn,,2.0,2.0,2.0,1.0,2,2,2
Kent School District,Pere,2,conservative,0,0,0,0,0,City of Auburn,,2.0,2.0,2.0,1.0,2,2,2
Kent School District,Serbo-Croation,2,conservative,0,0,0,0,0,City of Auburn,,2.0,2.0,2.0,1.0,2,2,2
Kent School District,Sinhalese,2,conservative,0,0,0,0,0,City of Auburn,,2.0,2.0,2.0,1.0,2,2,2
Kent School District,Sotho,2,conservative,0,0,0,0,0,City of Auburn,,2.0,2.0,2.0,1.0,2,2,2
Kent School District,Tajiki,2,conservative,0,0,0,0,0,City of Auburn,,2.0,2.0,2.0,1.0,2,2,2
Kent School District,Tarasco,2,conservative,0,0,0,0,0,City of Auburn,,2.0,2.0,2.0,1.0,2,2,2
Highline School District,Fallani,2,conservative,0,0,0,0,0,City of Burien,,2.0,2.0,2.0,1.0,2,2,2
Highline School District,Fula,2,conservative,0,0,0,0,0,City of Burien,,2.0,2.0,2.0,1.0,2,2,2
Highline School District,Mam,3,conservative,1,1,2,0,0,City of Burien,,2.5,0.6,2.0,0.667,0,0,3
Federal Way School District,Kikuyu,2,conservative,0,0,0,0,0,City of Des Moines,,2.0,2.0,2.0,1.0,2,2,2
Federal Way School District,Taishanese,2,conservative,0,0,0,0,0,City of Des Moines,,2.0,2.0,2.0,1.0,2,2,2
Renton School District,Armenian,3,conservative,1,1,2,0,0,Public Health Seattle and King County,,2.5,0.6,2.0,0.667,0,0,3
Renton School District,Chinese-Fukienese,2,conservative,0,0,0,0,0,City of Renton,,2.0,2.0,2.0,1.0,2,2,2
Renton School District,Dinka,3,conservative,1,1,2,0,0,Public Health Seattle and King County,,2.5,0.6,2.0,0.667,0,0,3
Renton School District,Egyptian-Arabic,2,conservative,0,0,0,0,0,City of Renton,,2.0,2.0,2.0,1.0,2,2,2
Renton School District,Fula,2,conservative,0,0,0,0,0,City of Renton,,2.0,2.0,2.0,1.0,2,2,2
Renton School District,"Greek, Modern",2,conservative,0,0,0,0,0,City of Renton,,2.0,2.0,2.0,1.0,2,2,2
Renton School District,Hawaiian,3,conservative,1,1,2,0,0,Public Health Seattle and King County,,2.5,0.6,2.0,0.667,0,0,3
Renton School District,Kongo,2,conservative,0,0,0,0,0,City of Renton,,2.0,2.0,2.0,1.0,2,2,2
Renton School District,Kurdish,2,conservative,0,0,0,0,0,City of Renton,,2.0,2.0,2.0,1.0,2,2,2
Renton School District,Mandinka,2,conservative,0,0,0,0,0,City of Renton,,2.0,2.0,2.0,1.0,2,2,2
Renton School District,Marquesan,2,conservative,0,0,0,0,0,City of Renton,,2.0,2.0,2.0,1.0,2,2,2
Renton School District,Mixteco,2,conservative,0,0,0,0,0,City of Renton,,2.0,2.0,2.0,1.0,2,2,2
Renton School District,Mongolian,3,conservative,1,1,2,0,0,Public Health Seattle and King County,,2.5,0.6,2.0,0.667,0,0,3
Renton School District,Purepecha,2,conservative,0,0,0,0,0,City of Renton,,2.0,2.0,2.0,1.0,2,2,2
Tukwila School District,Cham,2,conservative,0,0,0,0,0,City of Tukwila,,2.0,2.0,2.0,1.0,2,2,2
Tukwila School District,Ilokano,2,conservative,0,0,0,0,0,City of Tukwila,,2.0,2.0,2.0,1.0,2,2,2
Tukwila School District,Kirundi,2,conservative,0,0,0,0,0,City of Tukwila,,2.0,2.0,2.0,1.0,2,2,2
Tukwila School District,Uzbek,3,conservative,1,1,2,0,0,Public Health Seattle and King County,,2.5,0.6,2.0,0.667,0,0,3
Federal Way School District,Burmese,4,conservative,2,2,2,1,0,Public Health Seattle and King County,Public Health Seattle and King County,2.4,0.8,1.9,0.475,0,0,4
Federal Way School District,Hindi,4,conservative,2,1,2,1,0,Washington Healthplanfinder,Washington Healthplanfinder,2.4,0.8,1.9,0.475,0,0,4
Federal Way School District,Oromo,4,conservative,2,2,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,2.4,0.8,1.9,0.475,0,0,4
Renton School District,Tongan,4,conservative,2,2,2,1,0,Public Health Seattle and King County,Public Health Seattle and King County,2.4,0.8,1.9,0.475,0,0,4
Tukwila School District,Lao,4,conservative,2,2,2,3,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); Public Health Seattle and King County; Washington Healthplanfinder,2.4,0.8,1.9,0.475,0,0,4
Tukwila School District,Marshallese,4,conservative,2,2,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; WashingtonLawHelp,2.4,0.8,1.9,0.475,0,0,4
Tukwila School District,Amharic,30,conservative,3,2,2,4,1,Tukwila School District,International Community Health Services; King County Library System; Tukwila School District; Washington Healthplanfinder,0.0,6.0,1.8,0.06,0,0,30
Federal Way School District,Amharic,29,conservative,3,2,2,3,1,King County Library System,International Community Health Services; King County Library System; Washington Healthplanfinder,0.0,5.8,1.7,0.059,0,0,29
Auburn School District,Romanian,3,conservative,2,2,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,1.8,0.6,1.4,0.467,0,0,3
Highline School District,Korean,3,conservative,2,2,2,6,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); International Community Health Services; Public Health Seattle and King County; Sound Transit; Washington Healthplanfinder; WashingtonLawHelp,1.8,0.6,1.4,0.467,0,0,3
Federal Way School District,Tongan,3,conservative,2,2,2,1,0,Public Health Seattle and King County,Public Health Seattle and King County,1.8,0.6,1.4,0.467,0,0,3
Renton School District,Samoan,3,conservative,2,2,2,1,0,Public Health Seattle and King County,Public Health Seattle and King County,1.8,0.6,1.4,0.467,0,0,3
Renton School District,Thai,3,conservative,2,2,2,1,0,Public Health Seattle and King County,Public Health Seattle and King County,1.8,0.6,1.4,0.467,0,0,3
Tukwila School District,Thai,3,conservative,2,2,2,1,0,Public Health Seattle and King County,Public Health Seattle and King County,1.8,0.6,1.4,0.467,0,0,3
Tukwila School District,Tongan,3,conservative,2,2,2,1,0,Public Health Seattle and King County,Public Health Seattle and King County,1.8,0.6,1.4,0.467,0,0,3
Tukwila School District,Ukrainian,3,conservative,2,2,2,3,0,Public Health Seattle and King County,King County Library System; Public Health Seattle and King County; Washington Healthplanfinder,1.8,0.6,1.4,0.467,0,0,3
Kent School District,Albanian,2,conservative,1,1,2,0,0,City of Kent,,1.7,0.4,1.3,0.65,0,0,2
Kent School District,Bosnian,2,conservative,1,1,2,0,0,City of Kent,,1.7,0.4,1.3,0.65,0,0,2
Kent School District,Dutch,2,conservative,1,1,2,0,0,City of Kent,,1.7,0.4,1.3,0.65,0,0,2
Auburn School District,Ewe,2,conservative,1,1,2,0,0,City of Auburn,,1.7,0.4,1.3,0.65,0,0,2
Auburn School District,Hawaiian,2,conservative,1,1,2,0,0,City of Auburn,,1.7,0.4,1.3,0.65,0,0,2
Kent School District,Hungarian,2,conservative,1,1,2,0,0,City of Kent,,1.7,0.4,1.3,0.65,0,0,2
Auburn School District,Igbo,2,conservative,1,1,2,0,0,City of Auburn,,1.7,0.4,1.3,0.65,0,0,2
Kent School District,Igbo,2,conservative,1,1,2,0,0,City of Kent,,1.7,0.4,1.3,0.65,0,0,2
Kent School District,Italian,2,conservative,1,1,2,0,0,City of Kent,,1.7,0.4,1.3,0.65,0,0,2
Kent School District,Latvian,2,conservative,1,1,2,0,0,City of Kent,,1.7,0.4,1.3,0.65,0,0,2
Auburn School District,Luganda,2,conservative,1,1,2,0,0,City of Auburn,,1.7,0.4,1.3,0.65,0,0,2
Auburn School District,Malayalam,2,conservative,1,1,2,0,0,City of Auburn,,1.7,0.4,1.3,0.65,0,0,2
Auburn School District,Mongolian,2,conservative,1,1,2,0,0,City of Auburn,,1.7,0.4,1.3,0.65,0,0,2
Auburn School District,Polish,2,conservative,1,1,2,0,0,City of Auburn,,1.7,0.4,1.3,0.65,0,0,2
Kent School District,Twi,2,conservative,1,1,2,0,0,City of Kent,,1.7,0.4,1.3,0.65,0,0,2
Auburn School District,Wolof,2,conservative,1,1,2,0,0,City of Auburn,,1.7,0.4,1.3,0.65,0,0,2
Auburn School District,Yoruba,2,conservative,1,1,2,0,0,City of Auburn,,1.7,0.4,1.3,0.65,0,0,2
Highline School District,Bambara,2,conservative,1,1,2,0,0,City of Burien,,1.7,0.4,1.3,0.65,0,0,2
Federal Way School District,Bengali,2,conservative,1,1,2,0,0,Public Health Seattle and King County,,1.7,0.4,1.3,0.65,0,0,2
Federal Way School District,Bulgarian,2,conservative,1,1,2,0,0,Public Health Seattle and King County,,1.7,0.4,1.3,0.65,0,0,2
Federal Way School District,Cebuano,2,conservative,1,1,2,0,0,Public Health Seattle and King County,,1.7,0.4,1.3,0.65,0,0,2
Federal Way School District,Chamorro,2,conservative,1,1,2,0,0,Public Health Seattle and King County,,1.7,0.4,1.3,0.65,0,0,2
Federal Way School District,Gujarati,2,conservative,1,1,2,0,0,Public Health Seattle and King County,,1.7,0.4,1.3,0.65,0,0,2
Federal Way School District,Indonesian,2,conservative,1,1,2,0,0,Public Health Seattle and King County,,1.7,0.4,1.3,0.65,0,0,2
Federal Way School District,Kinyarwanda,2,conservative,1,1,2,0,0,Public Health Seattle and King County,,1.7,0.4,1.3,0.65,0,0,2
Federal Way School District,Kurdish,2,conservative,1,0,2,0,0,City of Des Moines,,1.7,0.4,1.3,0.65,0,2,2
Federal Way School District,Malayalam,2,conservative,1,1,2,0,0,Public Health Seattle and King County,,1.7,0.4,1.3,0.65,0,0,2
Federal Way School District,Nepali,2,conservative,1,1,2,0,0,Public Health Seattle and King County,,1.7,0.4,1.3,0.65,0,0,2
Federal Way School District,Twi,2,conservative,1,1,2,0,0,Public Health Seattle and King County,,1.7,0.4,1.3,0.65,0,0,2
