location_id,language
sound_transit-LS_S03_T2,Tagalog
sound_transit-LS_S03_T2,Vietnamese
sound_transit-LS_S05_T1,Chinese-Cantonese
sound_transit-LS_S05_T1,Chinese-Mandarin
sound_transit-LS_S05_T1,Korean
sound_transit-LS_S05_T1,Russian
sound_transit-LS_S05_T1,Spanish
sound_transit-LS_S05_T1,Tagalog
sound_transit-LS_S05_T1,Vietnamese
sound_transit-LS_S05_T2,Chinese-Cantonese
sound_transit-LS_S05_T2,Chinese-Mandarin
sound_transit-LS_S05_T2,Korean
sound_transit-LS_S05_T2,Russian
sound_transit-LS_S05_T2,Spanish
sound_transit-LS_S05_T2,Tagalog
sound_transit-LS_S05_T2,Vietnamese
sound_transit-S01,Chinese-Cantonese
sound_transit-S01,Chinese-Mandarin
sound_transit-S01,Korean
sound_transit-S01,Russian
sound_transit-S01,Spanish
sound_transit-S01,Tagalog
sound_transit-S01,Vietnamese
sound_transit-S01-E-00001,Chinese-Cantonese
sound_transit-S01-E-00001,Chinese-Mandarin
sound_transit-S01-E-00001,Korean
sound_transit-S01-E-00001,Russian
sound_transit-S01-E-00001,Spanish
sound_transit-S01-E-00001,Tagalog
sound_transit-S01-E-00001,Vietnamese
sound_transit-S01-E-00002,Chinese-Cantonese
sound_transit-S01-E-00002,Chinese-Mandarin
sound_transit-S01-E-00002,Korean
sound_transit-S01-E-00002,Russian
sound_transit-S01-E-00002,Spanish
sound_transit-S01-E-00002,Tagalog
sound_transit-S01-E-00002,Vietnamese
sound_transit-S03,Chinese-Cantonese
sound_transit-S03,Chinese-Mandarin
sound_transit-S03,Korean
sound_transit-S03,Russian
sound_transit-S03,Spanish
sound_transit-S03,Tagalog
sound_transit-S03,Vietnamese
sound_transit-S05,Chinese-Cantonese
sound_transit-S05,Chinese-Mandarin
sound_transit-S05,Korean
sound_transit-S05,Russian
sound_transit-S05,Spanish
sound_transit-S05,Tagalog
sound_transit-S05,Vietnamese
sound_transit-S07,Chinese-Cantonese
sound_transit-S07,Chinese-Mandarin
sound_transit-S07,Korean
sound_transit-S07,Russian
sound_transit-S07,Spanish
sound_transit-S07,Tagalog
sound_transit-S07,Vietnamese
sound_transit-SS02,Chinese-Cantonese
sound_transit-SS02,Chinese-Mandarin
sound_transit-SS02,Korean
sound_transit-SS02,Russian
sound_transit-SS02,Spanish
sound_transit-SS02,Tagalog
sound_transit-SS02,Vietnamese
sound_transit-SS03,Chinese-Cantonese
sound_transit-SS03,Chinese-Mandarin
sound_transit-SS03,Korean
sound_transit-SS03,Russian
sound_transit-SS03,Spanish
sound_transit-SS03,Tagalog
sound_transit-SS03,Vietnamese
sound_transit-SS04,Chinese-Cantonese
sound_transit-SS04,Chinese-Mandarin
sound_transit-SS04,Korean
sound_transit-SS04,Russian
sound_transit-SS04,Spanish
sound_transit-SS04,Tagalog
sound_transit-SS04,Vietnamese
sound_transit-S_AU_NB,Chinese-Cantonese
sound_transit-S_AU_NB,Chinese-Mandarin
sound_transit-S_AU_NB,Korean
sound_transit-S_AU_NB,Russian
sound_transit-S_AU_NB,Spanish
sound_transit-S_AU_NB,Tagalog
sound_transit-S_AU_NB,Vietnamese
sound_transit-S_AU_SB,Chinese-Cantonese
sound_transit-S_AU_SB,Chinese-Mandarin
sound_transit-S_AU_SB,Korean
sound_transit-S_AU_SB,Russian
sound_transit-S_AU_SB,Spanish
