agency_id,agency_name,sector,location_id,location_name,location_type,lat,lon,district_name,languages_served,sectors_covered
kcmetro,King County Metro,transit,kcmetro-50014,Kent Des Moines Station - Bay 3,transit_center_or_park_ride,47.389595,-122.294868,Highline School District,Tagalog,"library, transit"
kcmetro,King County Metro,transit,kcmetro-50479,Kent Des Moines Station - Bay 6,transit_center_or_park_ride,47.3891869,-122.295967,Highline School District,Tagalog,"library, transit"
kcmetro,King County Metro,transit,kcmetro-52303,Burien Transit Center - Bay 3,transit_center_or_park_ride,47.4701042,-122.337067,Highline School District,Tagalog,"library, transit"
kcmetro,King County Metro,transit,kcmetro-52304,Burien Transit Center - Bay 4,transit_center_or_park_ride,47.4696922,-122.337288,Highline School District,Tagalog,"library, transit"
kcmetro,King County Metro,transit,kcmetro-52305,Burien Transit Center - Bay 5,transit_center_or_park_ride,47.4697571,-122.337097,Highline School District,Tagalog,"library, transit"
kcmetro,King County Metro,transit,kcmetro-52306,Burien Transit Center - Bay 6,transit_center_or_park_ride,47.4694099,-122.337318,Highline School District,Tagalog,"library, transit"
kcmetro,King County Metro,transit,kcmetro-53504,Kent-Des Moines Freeway Station,transit_center_or_park_ride,47.3912544,-122.292152,Highline School District,Tagalog,"library, transit"
kcmetro,King County Metro,transit,kcmetro-53541,Star Lake Station & S 270th St - Bay 1,transit_center_or_park_ride,47.3592911,-122.297684,Federal Way School District,Tagalog,"library, transit"
kcmetro,King County Metro,transit,kcmetro-53542,Star Lake Station & S 270th St - Bay 2,transit_center_or_park_ride,47.3594398,-122.297592,Federal Way School District,Tagalog,"library, transit"
kcmetro,King County Metro,transit,kcmetro-55938,South Renton Park & Ride - Bay 2,transit_center_or_park_ride,47.4724579,-122.213127,Renton School District,Tagalog,"library, transit"
kcmetro,King County Metro,transit,kcmetro-57451,Kent Sounder Station - Bay 1,transit_center_or_park_ride,47.3850517,-122.232689,Kent School District,Tagalog,"library, transit"
kcmetro,King County Metro,transit,kcmetro-57452,Kent Sounder Station - Bay 2,transit_center_or_park_ride,47.3848267,-122.232704,Kent School District,Tagalog,"library, transit"
kcmetro,King County Metro,transit,kcmetro-57453,Kent Sounder Station - Bay 3,transit_center_or_park_ride,47.3845291,-122.232689,Kent School District,Tagalog,"library, transit"
kcmetro,King County Metro,transit,kcmetro-57455,Kent Sounder Station - Bay 5,transit_center_or_park_ride,47.3848038,-122.23246,Kent School District,Tagalog,"library, transit"
