agency_id,location_id,location_name,location_name_raw,location_type,street,city,state,zip,lat,lon,web_url,district_geoid,district_name,in_study_area
kcls,kcls-1535,Shoreline,Shoreline,branch,345 NE 175th Street,Shoreline,WA,98155,47.7555196,-122.32476589999999,https://kcls.org/locations/1535,,,False
kcls,kcls-1536,Skykomish,Skykomish,branch,100 5th Street N,Skykomish,WA,98288,47.708482,-121.3609727,https://kcls.org/locations/1536,,,False
kcls,kcls-1537,Snoqualmie,Snoqualmie,branch,7824 Center Boulevard SE,Snoqualmie,WA,98065,47.5298532,-121.87238560000003,https://kcls.org/locations/1537,,,False
kcls,kcls-1538,Southcenter,Southcenter,branch,1386 Southcenter Mall,Tukwila,WA,98188,47.4587069,-122.26121469999998,https://kcls.org/locations/1538,5308130,Tukwila School District,True
kcls,kcls-1540,Administrative Office - Service Center,Administrative Office - Service Center,admin,960 Newport Way NW,Issaquah,WA,98027,47.54052249999999,-122.0505541,https://kcls.org/locations/1540,,,False
kcls,kcls-1541,Skyway,Skyway,branch,12601 76th Avenue S,Seattle,WA,98178,47.4901838,-122.2383256,https://kcls.org/locations/1541,5307230,Renton School District,True
kcls,kcls-1545,Vashon,Vashon,branch,17210 Vashon Hwy SW.,Vashon Island,WA,98070,47.45086329999999,-122.4594478,https://kcls.org/locations/1545,,,False
kcls,kcls-1546,Valley View,Valley View,branch,17850  Military Road S,Seatac,WA,98188,47.4432294,-122.27371010000002,https://kcls.org/locations/1546,5303540,Highline School District,True
kcls,kcls-1547,White Center,White Center,branch,1409 SW 107th Street,Seattle,WA,98146,47.506889,-122.35292500000003,https://kcls.org/locations/1547,5303540,Highline School District,True
kcls,kcls-1548,Woodinville,Woodinville,branch,17105 Avondale Road NE,Woodinville,WA,98072,47.7515682,-122.08190660000002,https://kcls.org/locations/1548,,,False
kcls,kcls-1549,Woodmont,Woodmont,branch,26809 Pacific Highway S,Des Moines,WA,98198,47.3610092,-122.30837459999998,https://kcls.org/locations/1549,5302820,Federal Way School District,True
kcls,kcls-1556,Renton,Renton,branch,100 Mill Avenue S,Renton,WA,98057,47.48191689999999,-122.2021034,https://kcls.org/locations/1556,5307230,Renton School District,True
kcls,kcls-1557,Renton Highlands,Renton Highlands,branch,2801 NE 10th Street,Renton,WA,98056,47.4998031,-122.18125370000001,https://kcls.org/locations/1557,5307230,Renton School District,True
kcls,kcls-1559,Redmond Ridge Library Express,Redmond Ridge Library Express,express,10735 Cedar Park Crescent NE,Redmond,WA,98053,47.6904624,-122.0437751,https://kcls.org/locations/1559,,,False
kcls,kcls-1564,Newcastle,Newcastle,branch,12901 Newcastle Way,Newcastle,WA,98056,47.5377124,-122.1672107,https://kcls.org/locations/1564,,,False
