DistrictName,language,families
Kent School District,Chinese-Cantonese,177
Kent School District,Chinese-Mandarin,85
Kent School District,Chinese-Taiwanese,2
Kent School District,Chuukese,50
Kent School District,Dari,962
Kent School District,Dinka,6
Kent School District,Dutch,2
Kent School District,Eritai,2
Kent School District,Fallani,2
Kent School District,Farsi,135
Kent School District,French,71
Kent School District,Fula,8
Kent School District,Ga,1
Kent School District,German,2
Kent School District,Gujarati,1
Kent School District,Haitian Creole,1
Kent School District,Hausa,3
Kent School District,Hindi,63
Kent School District,Hmong,7
Kent School District,Hungarian,2
Kent School District,Igbo,2
Kent School District,Ilokano,19
Kent School District,Indonesian,7
Kent School District,Italian,2
Kent School District,Japanese,8
Kent School District,Kannada,1
Kent School District,Karen,13
Kent School District,Karenni,5
Kent School District,Khmer,124
Kent School District,Kikuyu,4
Kent School District,Kinyarwanda,9
Kent School District,Kirundi,10
Kent School District,Kmhmu,2
Kent School District,Korean,22
Kent School District,Kosraean,31
Kent School District,Krahn,1
Kent School District,Krio,1
Kent School District,Kurdish,18
Kent School District,Lao,20
Kent School District,Latvian,2
Kent School District,Lingala,13
Kent School District,Maay Maay,10
Kent School District,Malay,1
Kent School District,Malayalam,7
Kent School District,Mandingo,2
Kent School District,Marshallese,62
Kent School District,Mien,14
Kent School District,Moldavian,1
Kent School District,Nepali,78
Kent School District,Nuer,4
Kent School District,Oromo,13
Kent School District,Palau,13
Kent School District,Pashto,351
Kent School District,Pere,2
Kent School District,Portuguese,39
Kent School District,Punjabi,500
Kent School District,Rohingya,3
Kent School District,Romanian,29
Kent School District,Russian,352
Kent School District,Samoan,43
Kent School District,Sao,1
Kent School District,Serbo-Croation,2
Kent School District,Sinhalese,2
Kent School District,Somali,405
Kent School District,Soninke,3
Kent School District,Sotho,2
Kent School District,Spanish,3724
Kent School District,Swahili,35
Kent School District,Tagalog,166
Kent School District,Taishanese,6
Kent School District,Tajiki,2
Kent School District,Tamil,8
Kent School District,Tarasco,2
Kent School District,Telugu,10
Kent School District,Thai,13
Kent School District,Tigrinya,25
Kent School District,Tongan,15
Kent School District,Turkish,109
Kent School District,Twi,2
Kent School District,Ukrainian,537
Kent School District,Urdu,31
Kent School District,Uzbek,9
Kent School District,Vietnamese,535
Kent School District,Wolof,15
Kent School District,Yap,4
Renton School District,Albanian,6
Renton School District,American Sign Language,10
Renton School District,Amharic,67
Renton School District,Arabic,72
Renton School District,Armenian,3
Renton School District,Azerbaijani,1
Renton School District,Bassa,1
Renton School District,Bengali,6
Renton School District,Bosnian,1
Renton School District,Bulgarian,1
Renton School District,Burmese,9
Renton School District,Catalan,1
Renton School District,Cebuano,4
Renton School District,Cham,12
Renton School District,Chin,3
Renton School District,Chinese-Cantonese,189
Renton School District,Chinese-Fukienese,2
Renton School District,Chinese-Mandarin,108
Renton School District,Chinese-Taiwanese,3
Renton School District,Chuukese,10
Renton School District,Dari,199
Renton School District,Dinka,3
Renton School District,Egyptian-Arabic,2
Renton School District,Estonian,2
Renton School District,Farsi,52
Renton School District,French,11
Renton School District,Fula,2
Renton School District,German,2
Renton School District,"Greek, Modern",2
Renton School District,Gujarati,9
Renton School District,Haitian Creole,1
Renton School District,Hawaiian,3
Renton School District,Hindi,29
Renton School District,Hmong,6
Renton School District,Ilokano,13
Renton School District,Indonesian,2
Renton School District,Italian,1
Renton School District,Japanese,17
Renton School District,Kannada,1
Renton School District,Kazakh,2
Renton School District,Khmer,35
Renton School District,Kirgiz,1
Renton School District,Kongo,2
Renton School District,Korean,28
Renton School District,Kurdish,2
Renton School District,Lao,11
Renton School District,Lingala,6
Renton School District,Luganda,6
Renton School District,Malay,1
Renton School District,Malayalam,2
Renton School District,Mandinka,2
Renton School District,Marathi,4
Renton School District,Marquesan,2
Renton School District,Marshallese,7
Renton School District,Maya-Quiche,1
Renton School District,Mien,9
Renton School District,Mixteco,2
Renton School District,Mongolian,3
Renton School District,Nepali,8
Renton School District,Nuer,2
Renton School District,Oromo,35
Renton School District,Pashto,103
Renton School District,Portuguese,64
Renton School District,Punjabi,56
Renton School District,Purepecha,2
Renton School District,Romanian,38
Renton School District,Russian,105
Renton School District,Samoan,3
Renton School District,Serbo-Croation,1
Renton School District,Shona,2
Renton School District,Slovenian,1
Renton School District,Somali,115
Renton School District,Soninke,20
Renton School District,Spanish,2695
Renton School District,Swahili,17
Renton School District,Tagalog,63
Renton School District,Taishanese,8
Renton School District,Tamil,10
Renton School District,Telugu,9
Renton School District,Thai,3
Renton School District,Tigrinya,41
Renton School District,Tongan,4
Renton School District,Turkish,10
Renton School District,Ukrainian,103
Renton School District,Urdu,5
Renton School District,Vietnamese,635
Renton School District,Wolof,9
Tukwila School District,Amharic,30
Tukwila School District,Arabic,59
Tukwila School District,Bengali,1
Tukwila School District,Bosnian,9
Tukwila School District,Burmese,78
Tukwila School District,Cham,2
Tukwila School District,Chamorro,2
Tukwila School District,Chinese-Cantonese,7
Tukwila School District,Chinese-Taiwanese,1
Tukwila School District,Chuukese,8
Tukwila School District,Dari,134
Tukwila School District,Dinka,1
Tukwila School District,Fallani,1
Tukwila School District,Farsi,11
Tukwila School District,French,54
Tukwila School District,Fula,3
Tukwila School District,Haitian Creole,1
Tukwila School District,Hawaiian,2
Tukwila School District,Hindi,1
Tukwila School District,Ilokano,2
Tukwila School District,Karen,8
Tukwila School District,Khmer,21
Tukwila School District,Kikuyu,1
Tukwila School District,Kinyarwanda,4
Tukwila School District,Kirundi,2
Tukwila School District,Krio,1
Tukwila School District,Lao,4
Tukwila School District,Lingala,17
Tukwila School District,Malay,1
Tukwila School District,Malayalam,1
Tukwila School District,Marshallese,4
Tukwila School District,Nepali,29
Tukwila School District,Oromo,11
Tukwila School District,Pashto,67
Tukwila School District,Portuguese,157
Tukwila School District,Punjabi,6
Tukwila School District,Romanian,1
Tukwila School District,Russian,11
Tukwila School District,Samoan,11
Tukwila School District,Somali,131
Tukwila School District,Soninke,1
Tukwila School District,Spanish,830
Tukwila School District,Swahili,6
Tukwila School District,Tagalog,24
Tukwila School District,Tedim,9
Tukwila School District,Thai,3
Tukwila School District,Tigrinya,21
Tukwila School District,Tongan,3
Tukwila School District,Turkish,4
Tukwila School District,Twi,1
Tukwila School District,Ukrainian,3
Tukwila School District,Uzbek,3
Tukwila School District,Vietnamese,136
