NAME,B16001_001E,B16001_002E,B16001_003E,B16001_004E,B16001_005E,B16001_006E,B16001_007E,B16001_008E,B16001_009E,B16001_010E,B16001_011E,B16001_012E,B16001_013E,B16001_014E,B16001_015E,B16001_016E,B16001_017E,B16001_018E,B16001_019E,B16001_020E,B16001_021E,B16001_022E,B16001_023E,B16001_024E,B16001_025E,B16001_026E,B16001_027E,B16001_028E,B16001_029E,B16001_030E,B16001_031E,B16001_032E,B16001_033E,B16001_034E,B16001_035E,B16001_036E,B16001_037E,B16001_038E,B16001_039E,B16001_040E,B16001_041E,B16001_042E,B16001_043E,B16001_044E,B16001_045E,state,public use microdata area,B16001_046E,B16001_047E,B16001_048E,B16001_049E,B16001_050E,B16001_051E,B16001_052E,B16001_053E,B16001_054E,B16001_055E,B16001_056E,B16001_057E,B16001_058E,B16001_059E,B16001_060E,B16001_061E,B16001_062E,B16001_063E,B16001_064E,B16001_065E,B16001_066E,B16001_067E,B16001_068E,B16001_069E,B16001_070E,B16001_071E,B16001_072E,B16001_073E,B16001_074E,B16001_075E,B16001_076E,B16001_077E,B16001_078E,B16001_079E,B16001_080E,B16001_081E,B16001_082E,B16001_083E,B16001_084E,B16001_085E,B16001_086E,B16001_087E,B16001_088E,B16001_089E,B16001_090E,B16001_091E,B16001_092E,B16001_093E,B16001_094E,B16001_095E,B16001_096E,B16001_097E,B16001_098E,B16001_099E,B16001_100E,B16001_101E,B16001_102E,B16001_103E,B16001_104E,B16001_105E,B16001_106E,B16001_107E,B16001_108E,B16001_109E,B16001_110E,B16001_111E,B16001_112E,B16001_113E,B16001_114E,B16001_115E,B16001_116E,B16001_117E,B16001_118E,B16001_119E,B16001_120E,B16001_121E,B16001_122E,B16001_123E,B16001_124E,B16001_125E,B16001_126E,B16001_127E,B16001_128E
Spokane County (Outer)--Cheney City PUMA; Washington,113670,105276,2879,2018,861,334,232,102,0,0,0,44,28,16,35,25,10,369,321,48,8,8,0,66,65,1,1187,754,433,17,17,0,43,39,4,333,175,158,0,0,0,18,10,8,0,53,26301,0,0,7,7,0,0,0,0,27,19,8,155,155,0,0,0,0,195,188,7,0,0,0,0,0,0,0,0,0,238,144,94,231,191,40,61,20,41,0,0,0,62,36,26,13,13,0,62,56,6,6,6,0,487,401,86,670,423,247,600,486,114,0,0,0,0,0,0,157,154,3,7,7,0,2,2,0,52,52,0,29,29,0
Spokane County (East Central)--Greater Spokane Valley City PUMA; Washington,141450,131076,2972,2139,833,176,160,16,0,0,0,133,100,33,158,70,88,603,445,158,61,53,8,2,2,0,2247,1362,885,0,0,0,19,12,7,313,74,239,0,0,0,0,0,0,0,53,26302,0,0,0,0,0,0,0,0,106,59,47,0,0,0,0,0,0,262,133,129,0,0,0,0,0,0,0,0,0,529,276,253,392,338,54,86,60,26,54,38,16,722,340,382,0,0,0,31,31,0,0,0,0,181,168,13,714,365,349,255,86,169,0,0,0,18,0,18,9,3,6,60,32,28,0,0,0,95,68,27,176,119,57
Spokane County (South Central)--Spokane City (South) PUMA; Washington,131254,119996,3806,2629,1177,480,349,131,8,8,0,56,56,0,76,66,10,298,282,16,13,13,0,29,29,0,1231,704,527,16,0,16,102,96,6,181,48,133,53,53,0,225,216,9,52,53,26303,52,0,10,10,0,51,51,0,2,0,2,0,0,0,66,34,32,605,267,338,0,0,0,0,0,0,17,17,0,372,96,276,184,111,73,82,71,11,83,18,65,344,149,195,101,35,66,71,10,61,374,214,160,140,115,25,567,305,262,843,252,591,37,19,18,61,60,1,21,0,21,409,255,154,22,0,22,113,113,0,57,57,0
Spokane County (North Central)--Spokane City (North) PUMA; Washington,132348,122084,3712,2696,1016,123,105,18,0,0,0,74,36,38,147,136,11,311,287,24,46,46,0,31,31,0,1287,740,547,9,9,0,136,75,61,402,196,206,0,0,0,299,148,151,36,53,26304,36,0,39,14,25,47,47,0,50,26,24,0,0,0,48,0,48,310,161,149,0,0,0,0,0,0,15,15,0,437,297,140,74,34,40,84,31,53,16,0,16,422,188,234,0,0,0,50,14,36,310,131,179,396,248,148,525,223,302,515,402,113,2,0,2,75,35,40,100,96,4,85,52,33,0,0,0,38,38,0,13,13,0
"Stevens, Okanogan, Pend Oreille & Ferry Counties PUMA; Washington",107389,97746,7704,3784,3920,140,132,8,0,0,0,41,41,0,25,25,0,183,181,2,19,19,0,3,3,0,130,84,46,10,0,10,0,0,0,54,38,16,0,0,0,0,0,0,0,53,26500,0,0,17,17,0,0,0,0,34,21,13,0,0,0,4,4,0,73,66,7,9,9,0,0,0,0,0,0,0,32,7,25,111,41,70,54,12,42,0,0,0,7,7,0,0,0,0,29,12,17,37,9,28,104,32,72,125,119,6,2,0,2,0,0,0,21,16,5,0,0,0,10,10,0,12,11,1,527,504,23,126,126,0
Thurston County (Outer) PUMA; Washington,113272,102524,5581,3850,1731,101,93,8,0,0,0,23,23,0,19,19,0,827,763,64,64,64,0,1,1,0,109,96,13,138,121,17,13,7,6,43,43,0,0,0,0,159,159,0,0,53,26701,0,0,72,72,0,33,33,0,54,54,0,0,0,0,43,0,43,157,157,0,101,83,18,9,9,0,5,5,0,254,81,173,255,206,49,287,113,174,0,0,0,804,185,619,201,63,138,35,10,25,29,29,0,459,334,125,623,425,198,0,0,0,0,0,0,7,7,0,0,0,0,9,9,0,1,1,0,85,85,0,147,147,0
"Thurston County (Central)--Olympia, Lacey, & Tumwater Cities PUMA; Washington",169968,147335,7172,5099,2073,540,442,98,196,116,80,88,60,28,212,17,195,2132,1942,190,67,67,0,76,76,0,380,258,122,36,12,24,49,45,4,0,0,0,0,0,0,66,47,19,17,53,26702,17,0,72,59,13,49,0,49,84,66,18,0,0,0,127,91,36,205,179,26,125,111,14,57,57,0,49,49,0,859,481,378,708,537,171,1863,615,1248,0,0,0,2284,833,1451,546,161,385,327,143,184,462,89,373,1919,1362,557,905,701,204,448,325,123,14,4,10,60,60,0,251,170,81,83,58,25,50,50,0,40,28,12,15,15,0
"Whatcom County (Outer)--Lynden, Ferndale & Blaine Cities PUMA; Washington",108337,94411,7409,4625,2784,302,262,40,0,0,0,218,144,74,16,6,10,232,211,21,202,110,92,0,0,0,687,349,338,60,60,0,91,76,15,371,222,149,0,0,0,198,138,60,32,53,27301,21,11,235,205,30,70,59,11,1167,746,421,21,21,0,200,200,0,196,169,27,0,0,0,1,1,0,0,0,0,438,221,217,160,96,64,99,75,24,0,0,0,193,136,57,36,16,20,16,7,9,87,86,1,269,231,38,42,31,11,225,225,0,18,18,0,88,85,3,0,0,0,5,5,0,6,6,0,361,328,33,175,147,28
Whatcom County (South)--Greater Bellingham City PUMA; Washington,111641,98097,6086,4289,1797,422,247,175,0,0,0,172,124,48,61,45,16,571,564,7,97,97,0,45,45,0,689,333,356,17,17,0,22,22,0,181,68,113,0,0,0,102,92,10,0,53,27302,0,0,49,39,10,59,59,0,421,240,181,83,83,0,139,139,0,164,114,50,11,11,0,134,134,0,0,0,0,1592,1220,372,236,50,186,244,128,116,0,0,0,505,176,329,46,31,15,213,118,95,58,37,21,587,484,103,90,78,12,226,134,92,74,54,20,22,22,0,60,60,0,35,35,0,0,0,0,17,17,0,14,14,0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties PUMA; Washington",102283,85757,11908,6941,4967,412,346,66,5,5,0,68,42,26,90,80,10,487,443,44,0,0,0,30,30,0,68,54,14,33,33,0,40,40,0,80,80,0,0,0,0,75,75,0,0,53,27500,0,0,150,132,18,26,26,0,13,13,0,69,48,21,0,0,0,82,82,0,0,0,0,35,35,0,60,53,7,1046,594,452,96,88,8,328,161,167,0,0,0,239,98,141,2,2,0,77,50,27,83,73,10,364,254,110,69,60,9,68,41,27,62,35,27,3,3,0,0,0,0,95,95,0,0,0,0,56,45,11,207,39,168
Yakima County (Outer)--Sunnyside & Grandview Cities PUMA; Washington,116622,59992,54354,31752,22602,92,92,0,0,0,0,0,0,0,0,0,0,46,46,0,97,78,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,27701,0,0,22,22,0,0,0,0,40,22,18,0,0,0,17,17,0,67,18,49,0,0,0,0,0,0,0,0,0,158,39,119,25,25,0,36,36,0,0,0,0,126,72,54,0,0,0,6,2,4,1,0,1,172,115,57,156,136,20,549,408,141,0,0,0,0,0,0,41,41,0,0,0,0,0,0,0,621,570,51,3,3,0
Yakima County (Central)--Greater Yakima City PUMA; Washington,122192,77752,41854,26713,15141,83,57,26,0,0,0,78,78,0,16,16,0,236,209,27,14,14,0,0,0,0,196,138,58,81,81,0,0,0,0,32,32,0,0,0,0,55,55,0,17,53,27702,17,0,0,0,0,0,0,0,275,26,249,0,0,0,0,0,0,42,28,14,0,0,0,0,0,0,0,0,0,50,8,42,44,44,0,88,55,33,0,0,0,141,73,68,0,0,0,0,0,0,94,67,27,238,194,44,613,384,229,0,0,0,39,39,0,34,0,34,55,55,0,5,5,0,0,0,0,33,33,0,27,16,11
