NAME,B16001_001E,B16001_002E,B16001_003E,B16001_004E,B16001_005E,B16001_006E,B16001_007E,B16001_008E,B16001_009E,B16001_010E,B16001_011E,B16001_012E,B16001_013E,B16001_014E,B16001_015E,B16001_016E,B16001_017E,B16001_018E,B16001_019E,B16001_020E,B16001_021E,B16001_022E,B16001_023E,B16001_024E,B16001_025E,B16001_026E,B16001_027E,B16001_028E,B16001_029E,B16001_030E,B16001_031E,B16001_032E,B16001_033E,B16001_034E,B16001_035E,B16001_036E,B16001_037E,B16001_038E,B16001_039E,B16001_040E,B16001_041E,B16001_042E,B16001_043E,B16001_044E,B16001_045E,state,public use microdata area,B16001_046E,B16001_047E,B16001_048E,B16001_049E,B16001_050E,B16001_051E,B16001_052E,B16001_053E,B16001_054E,B16001_055E,B16001_056E,B16001_057E,B16001_058E,B16001_059E,B16001_060E,B16001_061E,B16001_062E,B16001_063E,B16001_064E,B16001_065E,B16001_066E,B16001_067E,B16001_068E,B16001_069E,B16001_070E,B16001_071E,B16001_072E,B16001_073E,B16001_074E,B16001_075E,B16001_076E,B16001_077E,B16001_078E,B16001_079E,B16001_080E,B16001_081E,B16001_082E,B16001_083E,B16001_084E,B16001_085E,B16001_086E,B16001_087E,B16001_088E,B16001_089E,B16001_090E,B16001_091E,B16001_092E,B16001_093E,B16001_094E,B16001_095E,B16001_096E,B16001_097E,B16001_098E,B16001_099E,B16001_100E,B16001_101E,B16001_102E,B16001_103E,B16001_104E,B16001_105E,B16001_106E,B16001_107E,B16001_108E,B16001_109E,B16001_110E,B16001_111E,B16001_112E,B16001_113E,B16001_114E,B16001_115E,B16001_116E,B16001_117E,B16001_118E,B16001_119E,B16001_120E,B16001_121E,B16001_122E,B16001_123E,B16001_124E,B16001_125E,B16001_126E,B16001_127E,B16001_128E
Seattle City (Northeast) PUMA; Washington,108265,84458,4101,3601,500,715,608,107,0,0,0,267,253,14,392,350,42,748,700,48,62,62,0,77,67,10,542,487,55,99,92,7,208,208,0,273,227,46,21,21,0,207,138,69,131,53,23317,131,0,867,852,15,265,258,7,429,397,32,180,162,18,299,288,11,431,404,27,224,224,0,473,462,11,165,146,19,6800,4329,2471,1018,563,455,1236,932,304,0,0,0,1145,855,290,32,32,0,177,97,80,200,179,21,313,284,29,413,270,143,233,200,33,41,41,0,328,311,17,136,136,0,441,326,115,0,0,0,32,5,27,86,67,19
Seattle City (North) PUMA; Washington,106786,81211,5877,3792,2085,810,753,57,0,0,0,235,210,25,567,352,215,605,551,54,63,63,0,67,49,18,861,683,178,152,50,102,62,59,3,86,38,48,0,0,0,567,394,173,22,53,23318,22,0,471,392,79,186,186,0,106,73,33,83,71,12,389,298,91,397,373,24,108,94,14,195,166,29,143,122,21,4820,3309,1511,940,749,191,884,578,306,0,0,0,768,432,336,131,37,94,353,169,184,290,192,98,1250,1092,158,438,336,102,327,283,44,48,48,0,2752,1448,1304,389,343,46,48,48,0,19,19,0,5,5,0,61,61,0
Tacoma City (North) PUMA; Washington,112811,98558,5163,3325,1838,362,345,17,0,0,0,78,68,10,159,159,0,377,337,40,33,33,0,29,20,9,1003,494,509,4,0,4,25,3,22,732,389,343,0,0,0,368,175,193,13,53,25301,13,0,26,26,0,16,16,0,129,74,55,0,0,0,0,0,0,94,34,60,0,0,0,2,2,0,52,45,7,629,395,234,373,295,78,828,334,494,10,10,0,1020,427,593,175,125,50,413,173,240,183,137,46,832,586,246,407,211,196,214,151,63,53,28,25,57,57,0,79,0,79,194,88,106,0,0,0,92,92,0,29,25,4
Kitsap County (North)--Bainbridge Island City & Silverdale PUMA; Washington,127122,116389,4038,2704,1334,421,361,60,10,10,0,107,84,23,72,72,0,236,231,5,40,40,0,32,32,0,200,151,49,13,13,0,0,0,0,124,54,70,121,106,15,34,34,0,25,53,23501,25,0,45,45,0,0,0,0,63,63,0,8,8,0,61,49,12,461,443,18,2,2,0,0,0,0,24,24,0,410,207,203,567,480,87,413,156,257,11,11,0,198,123,75,0,0,0,40,34,6,73,73,0,1974,1452,522,401,240,161,199,138,61,125,115,10,0,0,0,0,0,0,22,2,20,5,5,0,92,92,0,66,44,22
Kitsap County (South)--Bremerton & Port Orchard Cities PUMA; Washington,136291,122257,5862,3815,2047,443,386,57,12,12,0,176,146,30,52,52,0,201,163,38,44,39,5,53,44,9,140,131,9,0,0,0,20,20,0,80,71,9,0,0,0,55,55,0,10,53,23502,10,0,17,17,0,16,8,8,0,0,0,15,15,0,39,16,23,78,64,14,12,12,0,43,43,0,0,0,0,434,165,269,748,604,144,286,93,193,0,0,0,659,444,215,100,46,54,12,0,12,28,28,0,2773,1650,1123,942,701,241,99,44,55,17,17,0,43,30,13,4,4,0,157,138,19,0,0,0,42,3,39,322,234,88
"Lewis, Klickitat & Skamania Counties PUMA; Washington",114667,104210,8248,5256,2992,124,124,0,10,4,6,29,5,24,40,40,0,392,336,56,78,48,30,45,41,4,81,75,6,47,47,0,2,2,0,68,53,15,0,0,0,93,27,66,0,53,24100,0,0,2,2,0,0,0,0,79,28,51,0,0,0,0,0,0,63,63,0,0,0,0,0,0,0,0,0,0,109,40,69,76,52,24,181,146,35,0,0,0,180,87,93,0,0,0,0,0,0,2,0,2,277,258,19,50,35,15,18,18,0,0,0,0,11,4,7,0,0,0,28,28,0,1,1,0,27,22,5,96,96,0
Tacoma City (South) PUMA; Washington,95533,71639,9205,5662,3543,481,176,305,0,0,0,63,63,0,16,0,16,119,99,20,0,0,0,0,0,0,603,469,134,36,13,23,0,0,0,678,219,459,0,0,0,273,34,239,0,53,25302,0,0,281,245,36,0,0,0,0,0,0,47,0,47,55,55,0,210,102,108,0,0,0,0,0,0,0,0,0,305,49,256,411,320,91,1242,356,886,0,0,0,2721,674,2047,3170,1339,1831,579,283,296,125,42,83,1554,1082,472,658,367,291,97,50,47,0,0,0,117,117,0,30,16,14,734,544,190,0,0,0,20,0,20,64,64,0
"Pierce County (North Central)--Bonney Lake, Edgewood, Fife & Sumner Cities PUMA; Washington",96162,80262,5006,3422,1584,469,281,188,0,0,0,50,45,5,115,115,0,569,555,14,42,28,14,4,4,0,1322,868,454,41,17,24,0,0,0,2177,1290,887,59,59,0,123,72,51,0,53,25303,0,0,176,165,11,0,0,0,176,110,66,0,0,0,26,9,17,125,115,10,14,0,14,0,0,0,56,42,14,528,273,255,200,170,30,1457,757,700,8,8,0,286,112,174,318,201,117,66,16,50,35,35,0,1015,700,315,506,340,166,99,44,55,0,0,0,204,109,95,41,41,0,536,424,112,0,0,0,16,16,0,35,15,20
"Pierce County (Southeast)--Graham, Elk Plain & Prairie Ridge PUMA; Washington",125460,113327,5478,4159,1319,277,51,226,0,0,0,70,70,0,81,81,0,244,177,67,26,26,0,137,137,0,471,312,159,82,24,58,10,10,0,196,66,130,39,39,0,19,4,15,0,53,25304,0,0,56,43,13,0,0,0,92,0,92,0,0,0,91,33,58,226,120,106,0,0,0,0,0,0,0,0,0,410,130,280,260,189,71,637,311,326,0,0,0,53,10,43,221,99,122,681,455,226,0,0,0,994,796,198,811,515,296,71,71,0,1,0,1,25,9,16,44,44,0,286,286,0,0,0,0,12,12,0,32,32,0
Pierce County (East Central)--Puyallup City & South Hill PUMA; Washington,132902,113274,7479,4524,2955,358,256,102,612,233,379,90,71,19,35,16,19,459,413,46,35,25,10,0,0,0,784,333,451,211,211,0,0,0,0,637,99,538,12,12,0,68,68,0,32,53,25305,18,14,46,46,0,21,21,0,837,539,298,0,0,0,98,17,81,410,237,173,82,6,76,0,0,0,98,98,0,673,371,302,318,153,165,1077,414,663,24,0,24,486,245,241,413,167,246,165,126,39,600,560,40,1237,936,301,664,590,74,495,279,216,61,61,0,0,0,0,352,235,117,565,407,158,0,0,0,35,35,0,59,27,32
