NAME,C16001_001E,C16001_002E,C16001_003E,C16001_004E,C16001_005E,C16001_006E,C16001_007E,C16001_008E,C16001_009E,C16001_010E,C16001_011E,C16001_012E,C16001_013E,C16001_014E,C16001_015E,C16001_016E,C16001_017E,C16001_018E,C16001_019E,C16001_020E,C16001_021E,C16001_022E,C16001_023E,C16001_024E,C16001_025E,C16001_026E,C16001_027E,C16001_028E,C16001_029E,C16001_030E,C16001_031E,C16001_032E,C16001_033E,C16001_034E,C16001_035E,C16001_036E,C16001_037E,C16001_038E,state,school district (unified)
"Marysville School District, Washington",72471,58305,6558,4182,2376,182,182,0,85,85,0,1751,812,939,841,580,261,229,101,128,561,193,368,558,287,271,1048,497,551,946,605,341,351,324,27,1056,763,293,53,04860
"McCleary School District, Washington",3609,3449,115,81,34,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,8,8,0,22,5,17,0,0,0,7,7,0,53,04890
"Mead School District, Washington",60199,56471,1201,1026,175,105,69,36,154,154,0,847,628,219,446,367,79,84,31,53,271,210,61,11,8,3,123,81,42,318,184,134,123,123,0,45,41,4,53,04920
"Medical Lake School District, Washington",10176,9468,278,211,67,42,42,0,110,86,24,67,47,20,25,15,10,8,8,0,37,6,31,0,0,0,46,46,0,43,31,12,4,4,0,48,48,0,53,04950
"Mercer Island School District, Washington",24460,18188,339,269,70,165,165,0,265,265,0,311,258,53,1469,1199,270,593,417,176,2302,1180,1122,172,78,94,62,41,21,476,432,44,32,32,0,86,86,0,53,04980
"Meridian School District, Washington",12064,10141,997,791,206,0,0,0,14,14,0,32,23,9,491,304,187,12,12,0,109,71,38,23,17,6,0,0,0,90,90,0,87,10,77,68,68,0,53,05010
"Methow Valley School District, Washington",6242,5500,604,418,186,15,15,0,13,13,0,85,47,38,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,53,05020
"Mill A School District, Washington",482,457,19,18,1,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,05040
"Monroe School District, Washington",38725,31922,2874,1874,1000,59,59,0,150,150,0,1085,828,257,900,608,292,45,34,11,66,57,9,77,65,12,158,144,14,1091,698,393,194,194,0,104,88,16,53,05130
"Montesano School District, Washington",7221,6719,185,146,39,42,42,0,13,13,0,56,49,7,94,78,16,47,30,17,40,11,29,0,0,0,12,0,12,0,0,0,13,13,0,0,0,0,53,05160
"Morton School District, Washington",2664,2552,99,71,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,05190
"Moses Lake School District, Washington",45744,35367,8973,5731,3242,32,29,3,73,73,0,739,510,229,173,120,53,0,0,0,97,9,88,29,29,0,149,99,50,80,61,19,32,32,0,0,0,0,53,05220
"Mossyrock School District, Washington",4480,4030,384,255,129,0,0,0,21,21,0,32,32,0,0,0,0,0,0,0,0,0,0,12,6,6,0,0,0,0,0,0,0,0,0,1,1,0,53,05250
"Mount Adams School District, Washington",3811,2535,1080,634,446,0,0,0,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0,0,8,8,0,28,17,11,10,10,0,127,120,7,53,05280
"Mount Baker School District, Washington",14137,13004,253,180,73,19,19,0,78,78,0,127,36,91,146,57,89,37,18,19,20,11,9,174,136,38,105,105,0,106,94,12,20,20,0,48,29,19,53,05310
"Mount Pleasant School District, Washington",390,378,2,2,0,0,0,0,4,4,0,2,2,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,05340
"East Valley School District (Yakima), Washington",19362,14080,4656,3337,1319,12,12,0,0,0,0,0,0,0,306,55,251,0,0,0,3,3,0,0,0,0,0,0,0,77,77,0,228,228,0,0,0,0,53,05370
"Mount Vernon School District, Washington",36776,25600,9471,5730,3741,0,0,0,168,168,0,536,142,394,312,140,172,11,0,11,103,51,52,28,0,28,192,157,35,112,72,40,40,18,22,203,98,105,53,05400
"Mukilteo School District, Washington",102303,65250,13077,6479,6598,536,354,182,232,232,0,4127,2399,1728,2435,1443,992,2358,741,1617,1047,531,516,3642,1060,2582,1690,1015,675,3363,1833,1530,1731,1292,439,2815,2132,683,53,05430
"Naches Valley School District, Washington",7957,6825,1041,770,271,28,18,10,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,19,19,0,4,1,3,0,0,0,0,0,0,53,05460
"Napavine School District, Washington",5422,5132,190,170,20,0,0,0,13,0,13,39,39,0,0,0,0,37,31,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,3,7,53,05490
"Naselle-Grays River Valley School District, Washington",2161,2054,81,51,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,16,10,0,0,0,0,0,0,53,05520
"Nespelem School District, Washington",967,811,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,144,142,2,53,05550
"Newport School District, Washington",8722,8538,72,67,5,24,16,8,16,16,0,43,0,43,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,53,05610
"Nine Mile Falls School District, Washington",9764,9425,120,91,29,6,6,0,14,14,0,106,78,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,71,12,0,0,0,10,10,0,53,05640
"Nooksack Valley School District, Washington",11102,9328,1454,755,699,0,0,0,145,67,78,75,24,51,26,24,2,9,9,0,18,18,0,0,0,0,2,2,0,24,2,22,0,0,0,21,12,9,53,05670
"North Beach School District, Washington",8165,7645,313,179,134,0,0,0,37,37,0,0,0,0,28,28,0,27,14,13,0,0,0,0,0,0,115,29,86,0,0,0,0,0,0,0,0,0,53,05700
"North Franklin School District, Washington",9910,6548,3106,1932,1174,8,0,8,9,0,9,6,6,0,21,21,0,0,0,0,0,0,0,22,22,0,37,37,0,138,118,20,0,0,0,15,15,0,53,05730
"North Kitsap School District, Washington",47070,43667,1708,861,847,81,41,40,68,63,5,189,96,93,553,535,18,38,35,3,83,60,23,41,13,28,291,203,88,147,130,17,91,47,44,113,79,34,53,05760
"North Mason School District, Washington",17033,15701,793,317,476,0,0,0,71,28,43,0,0,0,113,82,31,38,38,0,0,0,0,137,68,69,58,58,0,22,22,0,0,0,0,100,100,0,53,05790
"North River School District, Washington",287,282,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,53,05820
"North Thurston Public Schools, Washington",107494,90075,6019,3914,2105,321,274,47,1603,1413,190,356,253,103,733,474,259,1135,400,735,385,182,203,1813,650,1163,1927,1357,570,2570,1333,1237,248,167,81,309,213,96,53,05850
"Northport School District, Washington",1613,1563,22,21,1,0,0,0,7,7,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,11,6,5,4,4,0,0,0,0,3,3,0,53,05880
"Northshore School District, Washington",144790,100039,7555,4901,2654,515,479,36,633,602,31,4587,3154,1433,9255,7257,1998,2098,1130,968,6496,4015,2481,1084,672,412,749,604,145,8875,6640,2235,842,780,62,2062,1770,292,53,05910
"Oak Harbor School District, Washington",38384,32952,2206,1554,652,112,78,34,62,35,27,31,14,17,520,399,121,141,70,71,59,57,2,339,99,240,1379,701,678,503,230,273,0,0,0,80,80,0,53,05940
"Oakesdale School District, Washington",784,776,4,4,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,53,05970
"Oakville School District, Washington",2724,2618,70,51,19,0,0,0,0,0,0,4,4,0,0,0,0,1,0,1,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,23,23,0,53,06000
"Ocean Beach School District, Washington",11737,10862,604,511,93,62,62,0,58,58,0,33,33,0,59,55,4,20,7,13,11,0,11,5,5,0,3,3,0,20,20,0,0,0,0,0,0,0,53,06060
"Ocosta School District, Washington",6962,6243,413,226,187,0,0,0,7,7,0,74,22,52,19,19,0,0,0,0,0,0,0,10,0,10,0,0,0,123,118,5,65,61,4,8,8,0,53,06090
"Odessa School District, Washington",1349,1172,5,0,5,8,8,0,111,107,4,0,0,0,14,14,0,0,0,0,0,0,0,14,10,4,0,0,0,10,10,0,12,12,0,3,3,0,53,06120
"Okanogan School District, Washington",4948,4109,685,339,346,0,0,0,7,7,0,0,0,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,60,33,27,0,0,0,58,54,4,53,06150
"Olympia School District, Washington",68133,61086,1766,1541,225,299,226,73,696,696,0,230,183,47,344,268,76,798,226,572,602,254,348,892,220,672,189,149,40,936,685,251,165,133,32,130,108,22,53,06180
"Omak School District, Washington",10488,9734,600,357,243,0,0,0,1,1,0,0,0,0,13,13,0,30,0,30,0,0,0,0,0,0,7,7,0,49,18,31,0,0,0,54,54,0,53,06220
"Onalaska School District, Washington",6223,5568,570,339,231,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,28,28,0,36,0,36,0,0,0,0,0,0,53,06240
"Onion Creek School District, Washington",372,367,2,2,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,06270
"Orcas Island School District, Washington",5745,5386,188,94,94,33,29,4,24,24,0,26,20,6,26,26,0,0,0,0,16,0,16,0,0,0,0,0,0,26,23,3,0,0,0,20,20,0,53,06300
"Orchard Prairie School District, Washington",720,640,47,33,14,0,0,0,0,0,0,2,2,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,53,06330
"Orient School District, Washington",1153,1092,22,22,0,14,14,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,9,4,5,53,06360
"Orondo School District, Washington",2098,908,1138,388,750,3,3,0,35,35,0,0,0,0,12,12,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,53,06390
"Oroville School District, Washington",4463,3804,606,308,298,23,23,0,15,15,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,53,06420
"Orting School District, Washington",17200,15465,833,726,107,12,12,0,74,63,11,21,6,15,27,27,0,8,8,0,22,11,11,17,0,17,0,0,0,689,428,261,0,0,0,32,32,0,53,06450
"Othello School District, Washington",15170,5234,9704,5344,4360,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,44,0,44,30,15,15,1,1,0,15,0,15,139,0,139,53,06480
"Palisades School District, Washington",342,170,136,51,85,0,0,0,0,0,0,0,0,0,36,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,06510
"Palouse School District, Washington",1351,1282,54,54,0,9,0,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,53,06540
"Pasco School District, Washington",79791,38915,37839,22987,14852,8,8,0,317,317,0,1311,635,676,50,29,21,45,24,21,178,178,0,569,318,251,96,87,9,274,101,173,167,122,45,22,22,0,53,06570
"Pateros School District, Washington",1785,1339,442,213,229,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,06600
"Paterson School District, Washington",669,249,388,118,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,16,16,0,53,06630
"Pe Ell School District, Washington",1770,1757,7,6,1,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,06660
"Peninsula School District, Washington",67145,63549,1206,971,235,272,199,73,160,122,38,700,465,235,317,302,15,229,130,99,180,112,68,38,26,12,138,53,85,291,196,95,0,0,0,65,65,0,53,06690
"Pioneer School District, Washington",11940,11004,663,350,313,46,39,7,49,49,0,28,13,15,48,30,18,8,0,8,16,0,16,0,0,0,37,18,19,32,32,0,0,0,0,9,9,0,53,06750
"Pomeroy School District, Washington",2242,2105,113,82,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,12,12,0,0,0,0,0,0,53,06780
"Port Angeles School District, Washington",31295,29695,917,650,267,107,107,0,169,169,0,30,9,21,46,46,0,0,0,0,60,43,17,31,17,14,19,10,9,121,56,65,0,0,0,100,100,0,53,06820
"Port Townsend School District, Washington",16143,15062,457,382,75,133,109,24,57,57,0,19,10,9,103,95,8,0,0,0,128,60,68,0,0,0,38,23,15,96,55,41,0,0,0,50,50,0,53,06840
"Prescott School District, Washington",1460,759,685,243,442,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,14,4,10,0,0,0,0,0,0,0,0,0,0,0,0,53,06870
"Prosser School District, Washington",13836,8614,5050,2884,2166,13,13,0,0,0,0,11,11,0,57,45,12,0,0,0,11,6,5,0,0,0,0,0,0,64,25,39,0,0,0,16,16,0,53,06900
"Pullman School District, Washington",33105,28843,1055,905,150,363,306,57,197,171,26,179,165,14,488,439,49,328,161,167,1012,580,432,58,58,0,97,97,0,301,270,31,38,26,12,146,79,67,53,06930
"Puyallup School District, Washington",135029,114767,6525,4173,2352,593,360,233,629,583,46,2191,1241,950,1740,1185,555,1684,803,881,765,424,341,536,271,265,1630,1207,423,2248,1576,672,392,239,153,1329,1115,214,53,06960
"Quilcene School District, Washington",1994,1907,12,6,6,4,4,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,21,10,11,0,0,0,8,8,0,0,0,0,24,3,21,53,06990
"Quillayute Valley School District, Washington",5835,5033,387,297,90,0,0,0,0,0,0,1,0,1,231,231,0,5,5,0,2,1,1,22,0,22,11,11,0,9,9,0,0,0,0,134,109,25,53,07020
"Lake Quinault School District, Washington",774,570,204,116,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,07050
"Quincy School District, Washington",12130,4570,7418,3849,3569,9,9,0,0,0,0,0,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,75,31,44,0,0,0,32,26,6,53,07080
"Rainier School District, Washington",4870,4462,298,242,56,4,4,0,20,20,0,13,13,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,62,62,0,53,07110
"Raymond School District, Washington",3980,3450,389,237,152,0,0,0,101,81,20,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,8,30,0,0,0,0,0,0,53,07140
"Reardan-Edwall School District, Washington",5074,4584,145,94,51,177,126,51,0,0,0,73,73,0,52,52,0,0,0,0,20,0,20,15,15,0,0,0,0,8,8,0,0,0,0,0,0,0,53,07210
"Renton School District, Washington",120839,76044,11839,6680,5159,274,263,11,165,145,20,2639,1367,1272,3715,2581,1134,1922,1103,819,7436,3081,4355,6142,2270,3872,3348,2107,1241,3784,2155,1629,741,443,298,2790,1808,982,53,07230
"Republic School District, Washington",2868,2746,31,12,19,23,23,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,58,0,0,0,0,0,0,0,53,07260
"Richland School District, Washington",77052,67359,4658,3323,1335,124,124,0,147,141,6,835,590,245,1446,1107,339,328,232,96,722,475,247,376,95,281,193,158,35,370,270,100,413,314,99,81,81,0,53,07320
"Ridgefield School District, Washington",22341,20065,1122,790,332,22,22,0,12,12,0,195,147,48,241,241,0,92,92,0,378,35,343,0,0,0,36,36,0,99,99,0,0,0,0,79,16,63,53,07350
"Ritzville School District, Washington",2532,2481,35,23,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,53,07380
"Riverside School District, Washington",11204,10979,88,46,42,0,0,0,8,8,0,0,0,0,14,10,4,0,0,0,0,0,0,0,0,0,56,22,34,20,20,0,0,0,0,39,39,0,53,07440
"Rochester School District, Washington",14768,12906,1661,840,821,0,0,0,58,58,0,0,0,0,0,0,0,33,12,21,0,0,0,44,27,17,0,0,0,50,39,11,0,0,0,16,16,0,53,07470
"Roosevelt School District, Washington",315,206,109,32,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,07530
"Rosalia School District, Washington",860,846,11,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,53,07560
"Royal School District, Washington",6484,2709,3724,1716,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,51,0,53,07620
"San Juan Island School District, Washington",8972,8325,360,269,91,36,36,0,59,54,5,17,9,8,88,78,10,16,7,9,30,30,0,2,2,0,13,13,0,20,3,17,0,0,0,6,6,0,53,07650
"Satsop School District, Washington",719,587,104,75,29,0,0,0,0,0,0,1,1,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,07680
"Seattle Public Schools, Washington",722726,551607,34421,24782,9639,5176,4712,464,4998,4617,381,7089,5404,1685,24194,21606,2588,6059,4178,1881,36036,21175,14861,11429,4568,6861,7329,5145,2184,16868,12336,4532,1875,1342,533,15645,9292,6353,53,07710
"Sedro-Woolley School District, Washington",27668,24580,2401,1678,723,91,79,12,30,30,0,85,62,23,144,124,20,0,0,0,83,0,83,49,43,6,100,86,14,89,43,46,0,0,0,16,16,0,53,07740
"Selah School District, Washington",19542,16549,2825,2039,786,9,0,9,0,0,0,47,36,11,0,0,0,11,11,0,0,0,0,11,11,0,4,4,0,67,67,0,0,0,0,19,19,0,53,07770
"Selkirk School District, Washington",1884,1834,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,22,12,10,0,0,0,0,0,0,9,0,9,12,12,0,0,0,0,0,0,0,53,07800
"Sequim School District, Washington",32900,31118,678,428,250,63,63,0,434,326,108,125,110,15,162,110,52,3,0,3,76,22,54,0,0,0,68,37,31,161,149,12,4,4,0,8,8,0,53,07830
"Shaw Island School District, Washington",149,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,07860
"Shelton School District, Washington",23193,19251,3278,1678,1600,2,2,0,65,65,0,44,44,0,48,48,0,0,0,0,0,0,0,27,0,27,8,0,8,100,100,0,0,0,0,370,124,246,53,07900
"Shoreline School District, Washington",71297,54774,3760,2650,1110,135,124,11,247,231,16,721,414,307,1216,822,394,1005,446,559,2825,1572,1253,823,377,446,1342,848,494,1581,1191,390,496,303,193,2372,1453,919,53,07920
"Skamania School District, Washington",880,847,19,15,4,2,2,0,0,0,0,4,4,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,53,07950
"Skykomish School District, Washington",355,332,3,0,3,6,3,3,0,0,0,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,53,07980
"Snohomish School District, Washington",55976,49573,2235,1414,821,28,28,0,187,127,60,330,179,151,836,704,132,695,92,603,533,280,253,97,75,22,248,216,32,861,717,144,242,223,19,111,53,58,53,08020
"Snoqualmie Valley School District, Washington",36804,32140,1051,776,275,209,168,41,115,115,0,394,292,102,862,761,101,104,77,27,500,264,236,0,0,0,140,35,105,725,578,147,25,16,9,539,539,0,53,08040
"Soap Lake School District, Washington",3649,2497,961,612,349,0,0,0,0,0,0,191,146,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,08070
"South Bend School District, Washington",2585,2063,445,226,219,0,0,0,10,10,0,0,0,0,8,8,0,10,10,0,0,0,0,0,0,0,0,0,0,49,42,7,0,0,0,0,0,0,53,08100
"Tukwila School District, Washington",19478,10003,3283,1968,1315,0,0,0,0,0,0,431,171,260,661,237,424,0,0,0,193,57,136,1071,444,627,591,271,320,844,394,450,387,129,258,2014,1221,793,53,08130
"South Kitsap School District, Washington",71921,65993,2388,1774,614,359,330,29,143,130,13,131,131,0,277,230,47,212,64,148,197,79,118,130,53,77,854,731,123,994,673,321,89,44,45,154,130,24,53,08160
"South Whidbey School District, Washington",16353,15641,370,264,106,16,16,0,16,16,0,60,40,20,78,70,8,0,0,0,35,26,9,9,0,9,0,0,0,73,41,32,46,46,0,9,0,9,53,08190
"Southside School District, Washington",2095,1998,88,74,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,1,1,0,53,08220
"Spokane Public Schools, Washington",229522,210424,6628,4540,2088,555,406,149,535,495,40,3270,1680,1590,2066,1298,768,82,71,11,589,213,376,823,362,461,400,262,138,2026,911,1115,1248,536,712,876,606,270,53,08250
"Sprague School District, Washington",789,769,7,0,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,3,3,0,3,3,0,0,0,0,53,08280
"St. John School District, Washington",902,866,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,4,0,4,4,4,0,0,0,0,0,0,0,53,08310
"Stanwood-Camano School District, Washington",38455,36061,1275,824,451,8,8,0,108,108,0,308,235,73,154,143,11,148,91,57,207,120,87,19,19,0,34,17,17,32,20,12,21,21,0,80,80,0,53,08340
"Star School District, Washington",385,97,278,166,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,53,08370
"Starbuck School District, Washington",108,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,08400
"Stehekin School District, Washington",42,38,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,08430
"Steilacoom Historical School District, Washington",22126,18749,994,914,80,39,39,0,408,329,79,62,33,29,176,86,90,346,162,184,197,140,57,98,51,47,418,182,236,404,216,188,8,4,4,227,172,55,53,08460
"Steptoe School District, Washington",249,241,7,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,08490
"Stevenson-Carson School District, Washington",6510,6297,130,77,53,12,12,0,7,7,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,30,30,0,6,6,0,0,0,0,53,08520
"Sultan School District, Washington",13918,11419,1473,746,727,56,36,20,33,33,0,16,16,0,62,61,1,274,89,185,2,0,2,35,0,35,6,6,0,540,522,18,0,0,0,2,2,0,53,08550
"Summit Valley School District, Washington",655,639,12,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,53,08580
"Sumner School District, Washington",51840,46304,2549,1598,951,56,44,12,166,152,14,1161,687,474,467,362,105,250,49,201,189,64,125,35,22,13,132,118,14,381,259,122,0,0,0,150,115,35,53,08610
"Sunnyside School District, Washington",22503,7698,14295,7625,6670,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,54,12,42,120,71,49,24,18,6,0,0,0,311,170,141,0,0,0,53,08670
"Tacoma Public Schools, Washington",220692,180702,14665,9284,5381,857,535,322,621,561,60,3188,1587,1601,1933,1120,813,2752,1152,1600,967,456,511,4019,1240,2779,2453,1718,735,6632,3373,3259,367,201,166,1536,1098,438,53,08700
"Taholah School District, Washington",1031,931,20,15,5,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,76,0,53,08730
"Tahoma School District, Washington",41323,34436,916,775,141,215,170,45,182,182,0,1121,614,507,1194,911,283,303,176,127,681,403,278,218,100,118,353,301,52,1430,1067,363,206,146,60,68,68,0,53,08760
"Tekoa School District, Washington",832,760,49,49,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,53,08790
"Tenino School District, Washington",9886,9387,215,190,25,6,6,0,155,155,0,0,0,0,38,38,0,21,11,10,0,0,0,0,0,0,35,35,0,22,17,5,0,0,0,7,7,0,53,08820
"Thorp School District, Washington",1445,1381,54,52,2,3,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,53,08850
"Toledo School District, Washington",4925,4799,110,90,20,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,53,08910
"Tonasket School District, Washington",6141,5103,999,575,424,0,0,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,08940
"Toppenish School District, Washington",12657,4942,7541,4120,3421,0,0,0,0,0,0,0,0,0,22,22,0,21,21,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,119,75,44,53,08970
"Touchet School District, Washington",1187,648,518,335,183,5,5,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,53,09000
"Toutle Lake School District, Washington",4287,4175,58,54,4,0,0,0,32,32,0,22,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,09030
"Trout Lake School District, Washington",1146,1061,69,47,22,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,09060
"Tumwater School District, Washington",43213,40044,1279,1019,260,171,113,58,144,125,19,25,19,6,180,88,92,88,34,54,105,105,0,323,121,202,142,98,44,519,451,68,35,25,10,158,148,10,53,09100
"Union Gap School District, Washington",3509,1446,1807,1216,591,18,18,0,45,26,19,0,0,0,40,22,18,0,0,0,0,0,0,0,0,0,0,0,0,139,64,75,0,0,0,14,14,0,53,09150
"University Place School District, Washington",31337,25384,2175,1773,402,48,48,0,172,152,20,266,116,150,466,353,113,764,398,366,99,72,27,299,139,160,644,583,61,353,291,62,174,56,118,493,281,212,53,09180
"Valley School District, Washington",1575,1553,8,8,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,53,09240
"Vancouver Public Schools, Washington",159826,131475,14165,9376,4789,673,616,57,486,486,0,4837,2472,2365,2029,1462,567,409,168,241,972,628,344,1046,349,697,1096,852,244,1699,1248,451,339,299,40,600,593,7,53,09270
"Vashon Island School District, Washington",9652,8707,343,273,70,1,0,1,49,35,14,47,14,33,173,127,46,37,24,13,206,100,106,0,0,0,30,17,13,40,40,0,0,0,0,19,19,0,53,09300
"Wahkiakum School District, Washington",3628,3545,60,60,0,0,0,0,12,12,0,0,0,0,10,10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,09330
"Wahluke School District, Washington",7694,1497,6014,2852,3162,0,0,0,0,0,0,8,0,8,18,18,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,136,18,53,09360
"Waitsburg School District, Washington",1533,1383,129,25,104,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,53,09390
"Walla Walla Public Schools, Washington",37242,29858,6368,4408,1960,187,187,0,90,90,0,134,63,71,124,100,24,26,8,18,144,51,93,27,24,3,115,90,25,53,33,20,25,25,0,91,62,29,53,09450
