NAME,C16001_001E,C16001_002E,C16001_003E,C16001_004E,C16001_005E,C16001_006E,C16001_007E,C16001_008E,C16001_009E,C16001_010E,C16001_011E,C16001_012E,C16001_013E,C16001_014E,C16001_015E,C16001_016E,C16001_017E,C16001_018E,C16001_019E,C16001_020E,C16001_021E,C16001_022E,C16001_023E,C16001_024E,C16001_025E,C16001_026E,C16001_027E,C16001_028E,C16001_029E,C16001_030E,C16001_031E,C16001_032E,C16001_033E,C16001_034E,C16001_035E,C16001_036E,C16001_037E,C16001_038E,state,school district (unified)
"Colfax School District, Washington",3876,3761,58,22,36,0,0,0,9,9,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,14,5,9,0,0,0,0,0,0,53,01440
"College Place School District, Washington",13640,11563,1630,961,669,104,74,30,19,19,0,25,25,0,38,24,14,32,4,28,76,36,40,4,4,0,20,20,0,106,50,56,4,4,0,19,19,0,53,01470
"Colton School District, Washington",1052,1008,6,4,2,0,0,0,3,3,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,11,5,6,6,6,0,0,0,0,10,10,0,53,01500
"Columbia (Stevens) School District, Washington",1180,1137,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,53,01560
"Columbia (Walla Walla) School District, Washington",3812,2900,901,321,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,53,01590
"Colville School District, Washington",12245,12024,149,100,49,0,0,0,35,35,0,16,0,16,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,01630
"Concrete School District, Washington",5432,5060,262,7,255,38,38,0,0,0,0,40,0,40,3,0,3,7,0,7,0,0,0,0,0,0,6,6,0,16,9,7,0,0,0,0,0,0,53,01660
"Conway School District, Washington",3382,3219,92,66,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,42,20,22,21,21,0,0,0,0,53,01680
"Cosmopolis School District, Washington",2414,2283,47,27,20,0,0,0,21,0,21,0,0,0,0,0,0,37,0,37,15,0,15,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,53,01710
"Coupeville School District, Washington",11221,10528,303,235,68,44,33,11,82,48,34,17,17,0,62,57,5,10,0,10,73,62,11,15,0,15,39,39,0,31,31,0,17,0,17,0,0,0,53,01800
"Crescent School District, Washington",2866,2720,92,77,15,0,0,0,12,12,0,0,0,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,8,8,0,53,01830
"Creston School District, Washington",1484,1428,36,36,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,53,01860
"Curlew School District, Washington",1497,1447,20,10,10,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,20,8,12,0,0,0,0,0,0,53,01890
"Cusick School District, Washington",1933,1852,20,19,1,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,0,53,01920
"Damman School District, Washington",764,687,77,56,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,01950
"Darrington School District, Washington",3214,3046,94,88,6,12,0,12,45,45,0,7,0,7,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,53,01980
"Davenport School District, Washington",2779,2708,31,31,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,0,0,0,0,0,0,0,0,0,0,53,02010
"Dayton School District, Washington",3587,3291,189,72,117,0,0,0,2,0,2,0,0,0,25,25,0,0,0,0,0,0,0,75,23,52,0,0,0,5,5,0,0,0,0,0,0,0,53,02040
"Deer Park School District, Washington",13117,12472,329,251,78,22,22,0,37,37,0,110,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,77,42,42,0,28,28,0,53,02070
"Dieringer School District, Washington",9704,8748,199,100,99,0,0,0,0,0,0,163,81,82,217,171,46,32,21,11,125,80,45,36,0,36,51,40,11,133,95,38,0,0,0,0,0,0,53,02130
"Dixie School District, Washington",419,386,31,23,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,53,02160
"East Valley School District (Spokane), Washington",28421,26673,613,371,242,42,42,0,213,140,73,632,359,273,104,19,85,42,42,0,15,10,5,1,0,1,23,13,10,41,41,0,0,0,0,22,22,0,53,02280
"Eastmont School District, Washington",33066,24879,7694,4043,3651,23,21,2,16,16,0,78,52,26,146,103,43,0,0,0,83,56,27,1,1,0,45,17,28,85,21,64,5,5,0,11,11,0,53,02310
"Easton School District, Washington",1360,1335,25,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,02340
"Eatonville School District, Washington",11117,10601,375,237,138,0,0,0,4,4,0,15,15,0,0,0,0,0,0,0,36,14,22,1,0,1,5,5,0,50,31,19,0,0,0,30,29,1,53,02370
"Edmonds School District, Washington",168808,121669,12109,7654,4455,798,656,142,549,495,54,3297,1863,1434,5947,4230,1717,3726,1441,2285,4097,1879,2218,3419,1640,1779,2626,1752,874,4978,3279,1699,1441,1018,423,4152,2468,1684,53,02400
"Ellensburg School District, Washington",28143,25595,1452,1078,374,52,52,0,175,155,20,20,20,0,261,217,44,16,14,2,74,65,9,138,67,71,48,37,11,162,149,13,25,25,0,125,125,0,53,02460
"Elma School District, Washington",8395,7336,962,538,424,0,0,0,7,7,0,16,16,0,0,0,0,0,0,0,28,28,0,0,0,0,0,0,0,10,10,0,0,0,0,36,6,30,53,02490
"Endicott School District, Washington",632,628,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,02520
"Entiat School District, Washington",2583,2303,229,119,110,0,0,0,0,0,0,0,0,0,36,36,0,0,0,0,4,0,4,0,0,0,5,0,5,6,6,0,0,0,0,0,0,0,53,02550
"Ephrata School District, Washington",11820,8776,3001,2346,655,6,6,0,0,0,0,7,0,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,11,4,7,53,02610
"Evaline School District, Washington",978,950,21,16,5,0,0,0,0,0,0,3,0,3,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,53,02640
"Everett School District, Washington",141151,100930,10880,6360,4520,317,255,62,244,244,0,4406,2150,2256,5074,3713,1361,1741,717,1024,2957,1895,1062,3486,1564,1922,1831,1010,821,5642,3578,2064,1860,950,910,1783,1285,498,53,02670
"Evergreen School District (Clark), Washington",150101,118842,12502,7920,4582,398,386,12,569,473,96,5868,3293,2575,2331,1554,777,781,367,414,1704,736,968,2099,852,1247,660,492,168,2910,1727,1183,488,339,149,949,736,213,53,02700
"Evergreen School District (Stevens), Washington",560,510,3,3,0,35,35,0,0,0,0,0,0,0,10,10,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,02730
