SchoolYear,OrganizationLevel,County,ESDOrganizationId,ESDName,DistrictOrganizationId,DistrictCode,DistrictName,StudentCount_OrganizationTotal,LanguageName,StudentCount_PrimaryLanguage,StudentCount_LanguageSpokenAtHome,StudentCount_PreferredFamilyLanguage,DataAsOf
2024-25,District,Grant,100008,North Central Educational Service District 171,100153,13161,Moses Lake School District,9258,Ukrainian,150,131,113,2025 Oct 30 12:00:00 AM
2024-25,District,Grant,100008,North Central Educational Service District 171,100153,13161,Moses Lake School District,9258,Unknown,63,34,32,2025 Oct 30 12:00:00 AM
2024-25,District,Grant,100008,North Central Educational Service District 171,100153,13161,Moses Lake School District,9258,Vietnamese,12,9,9,2025 Oct 30 12:00:00 AM
2024-25,District,Grant,100008,North Central Educational Service District 171,100212,13144,Quincy School District,3373,Chinese-Unspecified,3,3,0,2025 Oct 30 12:00:00 AM
2024-25,District,Grant,100008,North Central Educational Service District 171,100212,13144,Quincy School District,3373,English,1113,1481,1693,2025 Oct 30 12:00:00 AM
2024-25,District,Grant,100008,North Central Educational Service District 171,100212,13144,Quincy School District,3373,Nepali,3,2,0,2025 Oct 30 12:00:00 AM
2024-25,District,Grant,100008,North Central Educational Service District 171,100212,13144,Quincy School District,3373,Spanish,2245,1884,1734,2025 Oct 30 12:00:00 AM
2024-25,District,Grant,100008,North Central Educational Service District 171,100212,13144,Quincy School District,3373,Tagalog,2,2,0,2025 Oct 30 12:00:00 AM
2024-25,District,Grant,100008,North Central Educational Service District 171,100212,13144,Quincy School District,3373,Tamil,6,0,0,2025 Oct 30 12:00:00 AM
2024-25,District,Grant,100008,North Central Educational Service District 171,100212,13144,Quincy School District,3373,Unknown,1,1,0,2025 Oct 30 12:00:00 AM
2024-25,District,Grant,100002,Educational Service District 105,100226,13160,Royal School District,1852,English,513,619,667,2025 Oct 30 12:00:00 AM
2024-25,District,Grant,100002,Educational Service District 105,100226,13160,Royal School District,1852,Japanese,1,1,0,2025 Oct 30 12:00:00 AM
2024-25,District,Grant,100002,Educational Service District 105,100226,13160,Royal School District,1852,Kanjobal,1,1,0,2025 Oct 30 12:00:00 AM
2024-25,District,Grant,100002,Educational Service District 105,100226,13160,Royal School District,1852,Mixteco,2,2,1,2025 Oct 30 12:00:00 AM
2024-25,District,Grant,100002,Educational Service District 105,100226,13160,Royal School District,1852,Spanish,1335,1229,1212,2025 Oct 30 12:00:00 AM
2024-25,District,Grant,100008,North Central Educational Service District 171,100241,13156,Soap Lake School District,629,English,368,382,459,2025 Oct 30 12:00:00 AM
2024-25,District,Grant,100008,North Central Educational Service District 171,100241,13156,Soap Lake School District,629,Russian,53,49,22,2025 Oct 30 12:00:00 AM
2024-25,District,Grant,100008,North Central Educational Service District 171,100241,13156,Soap Lake School District,629,Spanish,179,166,130,2025 Oct 30 12:00:00 AM
2024-25,District,Grant,100008,North Central Educational Service District 171,100241,13156,Soap Lake School District,629,Ukrainian,29,32,34,2025 Oct 30 12:00:00 AM
2024-25,District,Grant,100002,Educational Service District 105,100281,13073,Wahluke School District,2592,English,312,310,445,2025 Oct 30 12:00:00 AM
2024-25,District,Grant,100002,Educational Service District 105,100281,13073,Wahluke School District,2592,Kanjobal,21,23,12,2025 Oct 30 12:00:00 AM
2024-25,District,Grant,100002,Educational Service District 105,100281,13073,Wahluke School District,2592,Maya-Quiche,1,1,0,2025 Oct 30 12:00:00 AM
2024-25,District,Grant,100002,Educational Service District 105,100281,13073,Wahluke School District,2592,Spanish,2256,2256,2219,2025 Oct 30 12:00:00 AM
2024-25,District,Grant,100002,Educational Service District 105,100281,13073,Wahluke School District,2592,Tzeltal,2,2,0,2025 Oct 30 12:00:00 AM
2024-25,District,Grant,100008,North Central Educational Service District 171,100285,13146,Warden School District,1031,English,530,581,627,2025 Oct 30 12:00:00 AM
2024-25,District,Grant,100008,North Central Educational Service District 171,100285,13146,Warden School District,1031,Spanish,500,450,407,2025 Oct 30 12:00:00 AM
2024-25,District,Grant,100008,North Central Educational Service District 171,100285,13146,Warden School District,1031,Unknown,1,0,0,2025 Oct 30 12:00:00 AM
2024-25,District,Grant,100008,North Central Educational Service District 171,100298,13167,Wilson Creek School District,132,English,124,127,132,2025 Oct 30 12:00:00 AM
2024-25,District,Grant,100008,North Central Educational Service District 171,100298,13167,Wilson Creek School District,132,Spanish,8,5,6,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100010,14005,Aberdeen School District,3572,American Sign Language,1,1,1,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100010,14005,Aberdeen School District,3572,Arabic,0,2,0,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100010,14005,Aberdeen School District,3572,Cambodian,4,3,0,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100010,14005,Aberdeen School District,3572,Chinese-Unspecified,1,0,0,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100010,14005,Aberdeen School District,3572,Czech,3,0,0,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100010,14005,Aberdeen School District,3572,Danish,0,0,4,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100010,14005,Aberdeen School District,3572,English,2774,2858,2942,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100010,14005,Aberdeen School District,3572,German,1,0,0,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100010,14005,Aberdeen School District,3572,Hawaiian,0,0,1,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100010,14005,Aberdeen School District,3572,Italian,1,0,0,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100010,14005,Aberdeen School District,3572,Korean,1,0,0,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100010,14005,Aberdeen School District,3572,Mam,2,1,1,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100010,14005,Aberdeen School District,3572,Pilipino/Filipino,2,1,0,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100010,14005,Aberdeen School District,3572,Punjabi,2,1,0,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100010,14005,Aberdeen School District,3572,Q'anjob'al,7,6,3,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100010,14005,Aberdeen School District,3572,Russian,6,4,3,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100010,14005,Aberdeen School District,3572,Spanish,747,682,654,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100010,14005,Aberdeen School District,3572,Thai,2,0,0,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100010,14005,Aberdeen School District,3572,Triqui,14,12,3,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100010,14005,Aberdeen School District,3572,Unknown,2,0,0,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100010,14005,Aberdeen School District,3572,Vietnamese,1,1,0,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100010,14005,Aberdeen School District,3572,Visayan,1,0,0,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100056,14099,Cosmopolis School District,200,Chinese-Unspecified,1,1,0,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100056,14099,Cosmopolis School District,200,English,197,195,198,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100056,14099,Cosmopolis School District,200,Spanish,2,3,5,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100056,14099,Cosmopolis School District,200,Unknown,0,1,1,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100077,14068,Elma School District,1780,American Sign Language,0,0,1,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100077,14068,Elma School District,1780,English,1520,1534,1621,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100077,14068,Elma School District,1780,German,1,0,0,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100077,14068,Elma School District,1780,"Hebrew, Modern",0,0,1,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100077,14068,Elma School District,1780,Latvian,0,0,1,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100077,14068,Elma School District,1780,Russian,0,0,2,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100077,14068,Elma School District,1780,Slovenian,1,1,0,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100077,14068,Elma School District,1780,Spanish,251,239,194,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100077,14068,Elma School District,1780,Tagalog,6,5,4,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100077,14068,Elma School District,1780,Triqui,0,0,6,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100077,14068,Elma School District,1780,Ukrainian,1,1,0,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100108,14028,Hoquiam School District,1733,American Sign Language,0,0,1,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100108,14028,Hoquiam School District,1733,English,1525,1536,1592,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100108,14028,Hoquiam School District,1733,German,1,0,0,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100108,14028,Hoquiam School District,1733,Pilipino/Filipino,1,1,0,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100108,14028,Hoquiam School District,1733,Spanish,200,190,180,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100108,14028,Hoquiam School District,1733,Unknown,4,2,1,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100108,14028,Hoquiam School District,1733,Vietnamese,2,4,3,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100143,14065,McCleary School District,358,English,353,356,357,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100143,14065,McCleary School District,358,Pilipino/Filipino,1,0,1,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100143,14065,McCleary School District,358,Spanish,4,2,1,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100151,14066,Montesano School District,1556,Cambodian,2,2,0,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100151,14066,Montesano School District,1556,English,1481,1494,1522,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100151,14066,Montesano School District,1556,German,3,0,0,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100151,14066,Montesano School District,1556,Lao,0,1,0,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100151,14066,Montesano School District,1556,Spanish,66,55,43,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100151,14066,Montesano School District,1556,Unknown,2,2,3,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100151,14066,Montesano School District,1556,Vietnamese,2,2,0,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100167,14064,North Beach School District No. 64,716,Chinese-Unspecified,1,1,2,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100167,14064,North Beach School District No. 64,716,English,687,689,707,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100167,14064,North Beach School District No. 64,716,German,1,0,0,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100167,14064,North Beach School District No. 64,716,Japanese,0,0,2,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100167,14064,North Beach School District No. 64,716,Korean,1,1,0,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100167,14064,North Beach School District No. 64,716,Russian,3,3,3,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100167,14064,North Beach School District No. 64,716,Spanish,12,17,7,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100167,14064,North Beach School District No. 64,716,Tagalog,1,2,1,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100167,14064,North Beach School District No. 64,716,Unknown,10,3,0,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100177,14400,Oakville School District,383,English,362,367,371,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100177,14400,Oakville School District,383,Japanese,0,1,0,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100177,14400,Oakville School District,383,Spanish,13,15,8,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100177,14400,Oakville School District,383,Unknown,8,0,4,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100179,14172,Ocosta School District,675,English,540,540,584,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100179,14172,Ocosta School District,675,Hmong,0,0,1,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100179,14172,Ocosta School District,675,Japanese,1,1,1,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100179,14172,Ocosta School District,675,Korean,0,1,0,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100179,14172,Ocosta School District,675,Spanish,122,121,106,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100179,14172,Ocosta School District,675,Ukrainian,11,11,11,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100179,14172,Ocosta School District,675,Vietnamese,1,1,1,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100211,14097,Lake Quinault School District,242,English,171,171,190,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100211,14097,Lake Quinault School District,242,Spanish,71,71,64,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100228,14104,Satsop School District,72,English,69,69,71,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100228,14104,Satsop School District,72,Spanish,3,3,1,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100262,14077,Taholah School District,210,English,210,210,210,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100300,14117,Wishkah Valley School District,189,English,187,189,189,2025 Oct 30 12:00:00 AM
2024-25,District,Grays Harbor,100004,Capital Region ESD 113,100300,14117,Wishkah Valley School District,189,Spanish,2,0,0,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100058,15204,Coupeville School District,1136,Amharic,1,0,0,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100058,15204,Coupeville School District,1136,English,1078,1088,1095,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100058,15204,Coupeville School District,1136,Italian,1,0,0,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100058,15204,Coupeville School District,1136,Japanese,2,0,0,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100058,15204,Coupeville School District,1136,Spanish,52,45,41,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100058,15204,Coupeville School District,1136,Tagalog,2,3,1,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,Acholi,0,0,1,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,American Sign Language,2,0,0,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,Armenian,0,0,1,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,Burmese,1,1,1,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,Chamorro,3,1,0,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,Chinese-Cantonese,3,4,5,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,Chinese-Mandarin,16,13,13,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,Chinese-Unspecified,2,2,1,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,Chuuk,1,0,0,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,Creole,0,1,3,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,Czech,1,0,0,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,Dutch,1,0,0,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,English,5737,5839,5916,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,French,5,3,5,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,German,3,2,0,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,Hawaiian,0,0,1,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,"Hebrew, Modern",1,1,1,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,Hiligaynon,2,0,0,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,Ilokano,3,2,1,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,Indonesian,1,0,0,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,Italian,5,2,1,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,Japanese,37,26,21,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,Korean,2,3,2,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,Latvian,1,0,0,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,Malayalam,1,2,2,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,Marshallese,2,2,3,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,Palau,2,3,4,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,Pilipino/Filipino,10,8,7,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,Polish,0,0,2,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,Portuguese,6,2,2,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,Punjabi,1,1,0,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,Romanian,2,0,0,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,Russian,2,2,2,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,Samoan,2,1,1,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,Spanish,222,173,172,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,Swahili,2,0,0,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,Tagalog,59,44,58,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,Thai,5,2,1,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,Triqui,10,15,14,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,Twi,5,5,2,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,Unknown,0,1,0,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,Vietnamese,4,3,3,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,Visayan,0,1,0,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,Yap,1,0,3,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100175,15201,Oak Harbor School District,6165,Yoruba,2,0,0,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100245,15206,South Whidbey School District,1293,American Sign Language,4,4,5,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100245,15206,South Whidbey School District,1293,Arabic,2,2,2,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100245,15206,South Whidbey School District,1293,Chinese-Unspecified,4,2,2,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100245,15206,South Whidbey School District,1293,English,1258,1267,1271,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100245,15206,South Whidbey School District,1293,French,0,0,1,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100245,15206,South Whidbey School District,1293,German,1,0,3,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100245,15206,South Whidbey School District,1293,Italian,1,1,0,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100245,15206,South Whidbey School District,1293,Pilipino/Filipino,1,0,2,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100245,15206,South Whidbey School District,1293,Russian,7,5,1,2025 Oct 30 12:00:00 AM
2024-25,District,Island,100009,Northwest Educational Service District 189,100245,15206,South Whidbey School District,1293,Spanish,15,12,10,2025 Oct 30 12:00:00 AM
2024-25,District,Jefferson,100005,Olympic Educational Service District 114,100029,16046,Brinnon School District,82,English,81,81,82,2025 Oct 30 12:00:00 AM
2024-25,District,Jefferson,100005,Olympic Educational Service District 114,100029,16046,Brinnon School District,82,Spanish,1,1,0,2025 Oct 30 12:00:00 AM
2024-25,District,Jefferson,100005,Olympic Educational Service District 114,100044,16049,Chimacum School District,772,American Sign Language,1,1,1,2025 Oct 30 12:00:00 AM
2024-25,District,Jefferson,100005,Olympic Educational Service District 114,100044,16049,Chimacum School District,772,Chin,3,3,2,2025 Oct 30 12:00:00 AM
2024-25,District,Jefferson,100005,Olympic Educational Service District 114,100044,16049,Chimacum School District,772,Chinese-Mandarin,1,1,2,2025 Oct 30 12:00:00 AM
2024-25,District,Jefferson,100005,Olympic Educational Service District 114,100044,16049,Chimacum School District,772,Chinese-Unspecified,2,1,0,2025 Oct 30 12:00:00 AM
2024-25,District,Jefferson,100005,Olympic Educational Service District 114,100044,16049,Chimacum School District,772,English,734,740,749,2025 Oct 30 12:00:00 AM
2024-25,District,Jefferson,100005,Olympic Educational Service District 114,100044,16049,Chimacum School District,772,German,1,0,0,2025 Oct 30 12:00:00 AM
2024-25,District,Jefferson,100005,Olympic Educational Service District 114,100044,16049,Chimacum School District,772,Russian,1,0,0,2025 Oct 30 12:00:00 AM
2024-25,District,Jefferson,100005,Olympic Educational Service District 114,100044,16049,Chimacum School District,772,Spanish,28,26,13,2025 Oct 30 12:00:00 AM
2024-25,District,Jefferson,100005,Olympic Educational Service District 114,100044,16049,Chimacum School District,772,Thai,1,0,0,2025 Oct 30 12:00:00 AM
2024-25,District,Jefferson,100005,Olympic Educational Service District 114,100203,16050,Port Townsend School District,1346,Chin,4,3,0,2025 Oct 30 12:00:00 AM
2024-25,District,Jefferson,100005,Olympic Educational Service District 114,100203,16050,Port Townsend School District,1346,English,1269,1286,1307,2025 Oct 30 12:00:00 AM
2024-25,District,Jefferson,100005,Olympic Educational Service District 114,100203,16050,Port Townsend School District,1346,Finnish,0,1,0,2025 Oct 30 12:00:00 AM
2024-25,District,Jefferson,100005,Olympic Educational Service District 114,100203,16050,Port Townsend School District,1346,French,0,0,1,2025 Oct 30 12:00:00 AM
