variable,label
B16001_117E,"Swahili or other languages of Central, Eastern, and Southern Africa:"
B16001_118E,"Swahili or other languages of Central, Eastern, and Southern Africa:!!Speak English ""very well"""
B16001_119E,"Swahili or other languages of Central, Eastern, and Southern Africa:!!Speak English less than ""very well"""
B16001_120E,Navajo:
B16001_121E,"Navajo:!!Speak English ""very well"""
B16001_122E,"Navajo:!!Speak English less than ""very well"""
B16001_123E,Other Native languages of North America:
B16001_124E,"Other Native languages of North America:!!Speak English ""very well"""
B16001_125E,"Other Native languages of North America:!!Speak English less than ""very well"""
B16001_126E,Other and unspecified languages:
B16001_127E,"Other and unspecified languages:!!Speak English ""very well"""
B16001_128E,"Other and unspecified languages:!!Speak English less than ""very well"""
